state,region,typebldg,floor,room,wave,rep,radon,county
AZ,1,1,1,2, 30, 2,-1.20397280432594,APACHE              
AZ,1,0,9,0,117, 1,-0.510825623765991,APACHE              
AZ,1,1,1,3,122, 4,-0.693147180559945,APACHE              
AZ,1,1,1,3,  3, 2,-0.510825623765991,APACHE              
AZ,1,1,1,1,118, 2,-1.20397280432594,APACHE              
AZ,1,1,1,1, 29, 5,0.182321556793955,APACHE              
AZ,1,0,9,0, 42, 1,1.6094379124341,APACHE              
AZ,1,1,1,1,  8, 2,1.25276296849537,APACHE              
AZ,1,0,9,0, 47, 2,0.182321556793955,APACHE              
AZ,1,1,1,3, 52, 5,-0.510825623765991,APACHE              
AZ,1,1,1,1, 59, 3,0.262364264467491,APACHE              
AZ,1,1,1,2, 59, 4,-0.916290731874155,APACHE              
AZ,1,1,0,2, 58, 4,1.58923520511658,APACHE              
AZ,1,1,1,1, 63, 3,-0.510825623765991,APACHE              
AZ,1,5,1,5,123, 2,-1.20397280432594,APACHE              
AZ,3,1,1,1, 24, 4,0.095310179804325,COCHISE             
AZ,3,0,1,1,  4, 3,-0.356674943938732,COCHISE             
AZ,3,0,9,0,  9, 2,0,COCHISE             
AZ,3,1,1,7, 29, 2,-0.510825623765991,COCHISE             
AZ,3,1,1,1, 35, 3,0.741937344729377,COCHISE             
AZ,3,1,0,1, 54, 4,-0.693147180559945,COCHISE             
AZ,3,1,1,1, 59, 5,-0.916290731874155,COCHISE             
AZ,3,1,1,1, 81, 3,-0.510825623765991,COCHISE             
AZ,3,1,1,7,103, 2,-1.20397280432594,COCHISE             
AZ,3,1,1,3,  9, 4,-0.916290731874155,COCHISE             
AZ,3,0,9,0, 94, 3,-0.693147180559945,COCHISE             
AZ,3,0,9,0, 45, 4,0.641853886172395,COCHISE             
AZ,3,1,1,3, 46, 1,1.16315080980568,COCHISE             
AZ,3,1,1,3, 64, 4,-0.223143551314210,COCHISE             
AZ,3,1,1,3, 76, 5,-0.693147180559945,COCHISE             
AZ,3,0,9,0, 84, 1,-0.693147180559945,COCHISE             
AZ,3,1,1,1, 50, 3,0.641853886172395,COCHISE             
AZ,3,1,1,3, 71, 4,0.78845736036427,COCHISE             
AZ,3,1,1,1, 90, 5,0.405465108108164,COCHISE             
AZ,3,5,1,1, 23, 5,1.06471073699243,COCHISE             
AZ,3,1,1,2, 24, 5,1.28093384546206,COCHISE             
AZ,3,1,1,1, 42, 1,1.75785791755237,COCHISE             
AZ,3,1,1,3, 39, 2,2.40694510831829,COCHISE             
AZ,3,1,1,3, 60, 5,0.78845736036427,COCHISE             
AZ,3,1,1,3, 82, 1,-0.916290731874155,COCHISE             
AZ,3,1,1,1, 73, 5,1.30833281965018,COCHISE             
AZ,3,1,1,1, 80, 4,0.587786664902119,COCHISE             
AZ,3,1,1,3, 90, 2,-1.6094379124341,COCHISE             
AZ,3,1,1,1, 93, 4,-0.916290731874155,COCHISE             
AZ,3,1,1,3,101, 4,-1.6094379124341,COCHISE             
AZ,3,1,1,2,107, 5,-2.30258509299405,COCHISE             
AZ,3,0,9,0,122, 2,-2.99573227355399,COCHISE             
AZ,3,1,1,3,124, 5,-2.30258509299405,COCHISE             
AZ,3,1,1,1,108, 1,-0.510825623765991,COCHISE             
AZ,3,1,1,3,  6, 3,0.8754687373539,COCHISE             
AZ,3,0,9,0, 58, 3,0.693147180559945,COCHISE             
AZ,3,1,1,1, 66, 1,1.38629436111989,COCHISE             
AZ,3,5,1,7, 84, 3,-0.356674943938732,COCHISE             
AZ,3,1,1,7,  3, 1,0.182321556793955,COCHISE             
AZ,1,1,0,7, 55, 3,0.741937344729377,COCONINO            
AZ,1,1,1,3,119, 3,-1.6094379124341,COCONINO            
AZ,1,0,9,0,118, 5,-2.30258509299405,COCONINO            
AZ,1,1,1,3, 86, 4,-1.6094379124341,COCONINO            
AZ,1,1,1,7, 76, 2,-0.510825623765991,COCONINO            
AZ,1,1,1,1, 28, 4,-0.223143551314210,COCONINO            
AZ,1,1,1,3, 30, 4,-0.356674943938732,COCONINO            
AZ,1,1,1,1, 33, 5,1.33500106673234,COCONINO            
AZ,1,1,1,1, 32, 1,0.587786664902119,COCONINO            
AZ,1,1,1,3, 36, 3,1.33500106673234,COCONINO            
AZ,1,1,1,1, 43, 4,1.16315080980568,COCONINO            
AZ,1,0,9,0, 39, 3,0.095310179804325,COCONINO            
AZ,1,1,1,1, 44, 1,1.30833281965018,COCONINO            
AZ,1,1,1,2, 50, 3,1.48160454092422,COCONINO            
AZ,1,5,1,1, 56, 3,0.741937344729377,COCONINO            
AZ,1,1,1,7, 58, 4,1.28093384546206,COCONINO            
AZ,1,1,1,3, 60, 1,1.09861228866811,COCONINO            
AZ,1,2,1,3, 63, 3,-1.20397280432594,COCONINO            
AZ,1,1,1,3, 62, 3,0.470003629245736,COCONINO            
AZ,1,1,1,7, 64, 5,2.26176309847379,COCONINO            
AZ,1,1,1,5, 69, 2,-0.510825623765991,COCONINO            
AZ,1,1,1,1, 86, 4,0.53062825106217,COCONINO            
AZ,1,0,9,0, 91, 2,-0.356674943938732,COCONINO            
AZ,1,1,1,1, 96, 5,-0.105360515657826,COCONINO            
AZ,1,1,1,1, 98, 5,2.55722731136763,COCONINO            
AZ,1,1,1,7, 85, 1,-0.510825623765991,COCONINO            
AZ,1,1,1,1,115, 1,2.04122032885964,COCONINO            
AZ,1,1,1,3,108, 2,0.182321556793955,COCONINO            
AZ,1,1,1,7,  8, 2,2.11625551480255,COCONINO            
AZ,1,1,1,3,  9, 5,0.182321556793955,COCONINO            
AZ,1,1,1,1, 39, 1,1.50407739677627,COCONINO            
AZ,1,5,1,3, 45, 5,-0.356674943938732,COCONINO            
AZ,1,1,1,1, 23, 2,0.955511445027436,COCONINO            
AZ,1,1,1,7, 25, 5,1.19392246847243,COCONINO            
