"switch","arsenic","unsafe","distance","x","y","community","education"
TRUE,236,TRUE,1682.60002136230,260867.53125,2632851.25,0,0
TRUE,71,TRUE,4732.19985961914,260817.375,2632870.25,0,0
FALSE,207,TRUE,2096.69990539551,260873.78125,2632848.75,0,10
TRUE,115,TRUE,2148.60000610352,260833,2632839,0,12
TRUE,196,TRUE,3258.20007324219,260858.328125,2632808.5,1,12
TRUE,110,TRUE,4087.40005493164,260830.28125,2632807.75,1,14
TRUE,141,TRUE,4731.39991760254,260866.921875,2632886.5,1,0
TRUE,390,TRUE,6951.79977416992,260789.875,2632779,1,9
TRUE,297,TRUE,8071.09985351562,260801.171875,2632774.25,1,4
TRUE,324,TRUE,5514.59999084473,260774.828125,2632784.25,0,10
TRUE,328,TRUE,5264.69993591309,260773.03125,2632778,1,0
TRUE,252,TRUE,7507.19985961914,260790.375,2632747.75,1,0
TRUE,313,TRUE,2977.40001678467,260741.359375,2632753.75,1,5
TRUE,394,TRUE,3059.60006713867,260750.828125,2632771.25,0,0
TRUE,304,TRUE,3450.40016174316,260751.8125,2632789.5,0,0
TRUE,291,TRUE,6380.40008544922,260773.734375,2632810.25,1,0
TRUE,321,TRUE,7360.39962768555,260783.4375,2632821.25,1,0
TRUE,135,TRUE,4461.99989318848,260812.71875,2632825,1,0
TRUE,170,TRUE,6765.49987792969,260811.4375,2632788.5,1,0
TRUE,180,TRUE,8066.00036621094,260809.5,2632773.75,1,7
TRUE,233,TRUE,5053.40003967285,260701.53125,2632822,1,0
TRUE,283,TRUE,3142.20008850098,260692.5,2632789.5,0,10
TRUE,179,TRUE,3300.89988708496,260689.203125,2632764.5,1,7
TRUE,254,TRUE,3787.09983825684,260688.53125,2632754.75,0,0
TRUE,225,TRUE,4837.30010986328,260698.015625,2632732.25,1,5
TRUE,242,TRUE,4730.89981079102,260696.171875,2632734.5,0,0
TRUE,207,TRUE,5401.39999389648,260722.8125,2632721,0,0
TRUE,162,TRUE,6778.50036621094,260677.796875,2632722.5,0,8
TRUE,234,TRUE,8113.80004882812,260679.203125,2632705.25,1,8
TRUE,349,TRUE,9545.99990844727,260678.09375,2632689.5,0,10
TRUE,308,TRUE,9300.09994506836,260670.734375,2632696.5,1,3
TRUE,213,TRUE,11441.7999267578,260676.078125,2632669.5,0,16
TRUE,113,TRUE,13174.4995117188,260655.015625,2632660.75,1,10
TRUE,93,TRUE,15762.8997802734,260644.265625,2632637,1,10
TRUE,336,TRUE,15191.9998168945,260664.609375,2632633.75,1,10
TRUE,83,TRUE,10566.7999267578,260560.53125,2632547.5,0,10
TRUE,206,TRUE,9877.89993286133,260546.1875,2632523,1,0
TRUE,137,TRUE,10562.5999450684,260546.03125,2632533.75,1,0
TRUE,148,TRUE,12531.7001342773,260582.34375,2632581.75,1,3
TRUE,267,TRUE,7254.1000366211,260772.25,2632874.75,1,0
FALSE,252,TRUE,361.800003051758,260711.09375,2632906.75,1,5
TRUE,248,TRUE,5816.69998168945,260798.9375,2632896,0,0
TRUE,447,TRUE,7234.60006713867,260792.1875,2632877.75,0,8
TRUE,152,TRUE,4031.8000793457,260805,2632913,0,0
TRUE,180,TRUE,6721.90017700195,260791.265625,2632863.75,0,0
FALSE,51,TRUE,9901.30004882812,260277.4375,2632867.5,0,0
FALSE,20,FALSE,11163.5002136230,260281.625,2632853,1,5
TRUE,64,TRUE,11591.3002014160,260274.09375,2632840,1,0
TRUE,71,TRUE,12709.8999023438,260286.78125,2632836.25,1,12
FALSE,41,FALSE,8257.39974975586,260246.0625,2632860.75,0,0
FALSE,5,FALSE,8061.29989624023,260236.140625,2632857.25,0,0
FALSE,16,FALSE,17481.1996459961,260270.890625,2632769.5,1,0
