"hmid","moment","concepts","agency","social","age","country","gender","married","parenthood","reflection","duration"
27674,"I was happy when my son got 90% marks in his examination","education|family","no","yes","29.0","IND","m","married","y","24h","half_a_day"
27685,"went to movies with my friends it was fun","entertainment","yes","yes","29.0","IND","m","single","y","24h","half_a_day"
27691,"A hot kiss with my girl friend last night made my day","romance","yes","yes","25.0","IND","m","married","y","24h","at_least_one_hour"
27701,"My son woke me up to a fantastic breakfast of eggs, his special hamburger patty and pancakes.","family|food","no","yes","79","USA","f","widowed","y","24h","all_day_im_still_feeling_it"
27712,"My older daughter keeps patting my younger daughter's head.","family","no","yes","30","USA","f","married","y","24h","a_few_moment"
27737,"I cooked my girlfriend a wonderful breakfast.","food|romance","yes","yes","34","USA","m","single","n","24h","half_a_day"
27754,"My Mother gave me a surprise visit at my home.","family","no","yes","26","IND","m","married","n","24h","half_a_day"
27772,"There was hardly any traffic on my way to work this morning.","career","yes","no","25","USA","m","single","n","24h","at_least_one_hour"
27775,"I came to my office at right time.","career","yes","no","22","USA","m","single","n","24h","a_few_moment"
27777,"The day I got my degree in industrial engineering","education","yes","no","22","VEN","f","single","n","24h","all_day_im_still_feeling_it"
27788,"I went to office hour of one of my professors, and I realized that he was the most caring professor/mentor ever.","education|career","yes","yes","21","USA","f","single","n","24h","all_day_im_still_feeling_it"
27789,"We all ladies member from my family went for a lunch at seven star hotel n it was so much fun when all ladies go together n gossip","food|family","yes","yes","35","IND","f","single","n","24h","half_a_day"
27791,"When my wife came home from work and we shared a steak dinner together with a bottle of wine.","food|romance|family","yes","yes","55","USA","m","married","n","24h","at_least_one_hour"
27801,"My father bought me a bicycle.","shopping|family","no","yes","27","IND","m","single","n","24h","all_day_im_still_feeling_it"
27804,"I went to my home and given an Ice Cream Family pack to my family particularly in to the hands of my son and it creates a joyful moment.","family","yes","yes","46","IND","m","married","y","24h","half_a_day"
27838,"I was able to play my video game that I enjoy the most quite a bit and that made me relaxed and happy.","entertainment","yes","no","29","USA","m","married","y","24h","at_least_one_hour"
27852,"I was able to do a full hour of research on a topic that had been nagging me.","career","yes","no","27","USA","m","single","n","24h","at_least_one_hour"
27864,"When i got to the train station it just pulled up and i was able to get a seat.","career","no","no","30","USA","m","single","n","24h","at_least_one_hour"
27866,"I went to support my cousin in her product launch last night and I was so happy and proud to watch her shine.","family","yes","yes","31","USA","f","married","n","24h","at_least_one_hour"
27870,"I cooked a new recipe for dinner and it turned out great","food","yes","no","61","USA","f","married","y","24h","half_a_day"
27876,"The weather has been warm and gorgeous for the first time in a long time and I'm loving it.","weather","no","no","28","DNK","f","married","n","24h","all_day_im_still_feeling_it"
27890,"Had dinner with my Family, now that my dad is getting over being sick.","family|food","yes","yes","28","USA","m","single","n","24h","half_a_day"
27891,"A hot chat with my dating partner makes me feel more sexy","conversation","yes","yes","25.0","IND","m","married","y","24h","at_least_one_hour"
27905,"The rain stopped and beautiful sunlight appeared so I went for a walk and took some photographs.","exercise|weather","yes","no","64","USA","f","divorced","y","24h","at_least_one_hour"
27926,"I had a very delicious lunch","food","yes","no","66","USA","m","married","y","24h","at_least_one_hour"
27949,"I finally went for a run and worked out and it felt great to be taking care of my body.","exercise","yes","no","30.0","USA","m","single","n","24h","half_a_day"
27994,"I received a call letter from the University for my job","career","no","no","45","IND","f","married","y","24h","at_least_one_hour"
28034,"my hole family out to have dinner","food|family","yes","yes","31","IND","m","married","y","24h","at_least_one_hour"
28044,"yesterday i received a message that i got promoted as a manager from my company","career","yes","yes","30","IND","m","single","y","24h","all_day_im_still_feeling_it"
28091,"A good win for my sports team","entertainment","no","yes","25.0","IND","m","married","y","24h","half_a_day"
28095,"I got an A on the test that I barely studied for.","education","yes","no","25","USA","m","single","n","24h","all_day_im_still_feeling_it"
28100,"I got new underwear in the mail that I had purchased online.","career","yes","no","26","USA","m","single","n","24h","all_day_im_still_feeling_it"
28103,"I beat the final boss in Dark Souls.","entertainment","yes","no","37","USA","m","single","n","24h","all_day_im_still_feeling_it"
28105,"My cat has been sick and yesterday she ate some food and scampered around the apartment.","animals","no","no","64","USA","f","divorced","y","24h","a_few_moment"
28107,"Meeting up with my girlfriend at the park and just talking.","romance","yes","yes","26","USA","m","married","n","24h","at_least_one_hour"
28150,"A good dinner in a nice restaurant with coworkers.","food","yes","yes","26","IND","m","single","n","24h","at_least_one_hour"
28155,"I finally got a job interview.","career","no","no","26","FIN","f","single","n","24h","a_few_moment"
28201,"I went to the temple with my parents.","religion|family","yes","yes","27","IND","m","single","n","24h","at_least_one_hour"
28202,"Finally succeed in making Tomato soup.","food","yes","no","22","IND","m","single","y","24h","a_few_moment"
28221,"I got to get together with some people from church to help out at the retirement home.It is always a good feeling to help people.","religion","yes","yes","39","USA","m","married","y","24h","at_least_one_hour"
28222,"Had a log walk with my friends after a heavy lunch","food|exercise","yes","yes","25","IND","f","married","y","24h","half_a_day"
28250,"I made a delicious meal.","food","yes","no","39","USA","f","married","n","24h","at_least_one_hour"
28273,"Hanging out with friends.","party","yes","yes","32","USA","m","single","n","24h","all_day_im_still_feeling_it"
28285,"I was happy when my wife's work friends came by to visit her.","family","no","yes","63","USA","m","married","y","24h","half_a_day"
28288,"I went for a meeting about Peruvian dances with my friends","party","yes","yes","29","PER","m","single","n","24h","at_least_one_hour"
28300,"I was finally able to order the things I had been saving up for over the past few months.","shopping","yes","no","30","USA","m","single","n","24h","at_least_one_hour"
28301,"When I was able to make an older women's day at the grocery store.","food","yes","yes","22","USA","m","single","n","24h","all_day_im_still_feeling_it"
28312,"I looked at the time and realized it was half an hour until I got off work.","career","yes","no","23.0","USA","m","single","n","24h","a_few_moment"
28316,"I played with my cat and he licked my face for an hour!","animals|entertainment","yes","no","22","USA","m","single","n","24h","at_least_one_hour"
28330,"I enjoyed swimming in the beach near chennai.","vacation","yes","no","25.0","IND","m","married","y","24h","half_a_day"
28334,"I went out last night and a friend made me an awesome drink with chocolate syrup and bailey's irish cream.","food","yes","yes","37.0","USA","f","single","n","24h","at_least_one_hour"
28337,"I ran two miles at a fast pace, that I have never achieved before.","exercise","yes","no","29","USA","f","married","y","24h","at_least_one_hour"
28340,"I was happiest last evening when I was painting in the garden.","weather","yes","no","20.0","USA","f","single","n","24h","at_least_one_hour"
28345,"I hung out with a close friend last night and had dinner and drinks with him.","food","yes","yes","27.0","USA","m","single","n","24h","half_a_day"
28350,"My wife made her chicken soup.","food","no","yes","38","USA","m","married","y","24h","at_least_one_hour"
28381,"My new boss appreciated the work i put in","career","no","yes","24.0","GBR","m","single","n","24h","at_least_one_hour"
28388,"I finally received my Pep Boys rebate in the form of a $40 prepaid Visa card in the mail, which I promptly used to purchase an item I had been wanting on Amazon.","shopping","yes","no","36.0","USA","f","single","n","24h","at_least_one_hour"
28407,"I got to spend the evening with my husband enjoying each other's company.","family|romance","yes","yes","49","USA","f","married","y","24h","all_day_im_still_feeling_it"
28408,"I hit my goal of walking 5 miles for the day.","exercise","yes","no","34.0","USA","m","married","y","24h","a_few_moment"
28420,"I got to eat some really delicious noodles that my mom made.","food|family","yes","yes","25","USA","f","single","y","24h","at_least_one_hour"
28421,"I bought a new laptop.","technology|shopping","yes","no","27.0","USA","m","single","n","24h","all_day_im_still_feeling_it"
28447,"I watched a movie with my spouse and she rubbed my sore feet.","entertainment","yes","yes","52","USA","m","married","y","24h","at_least_one_hour"
28458,"I went on a nice evening walk around the neighborhood with my wife.","exercise","yes","yes","27.0","USA","m","married","n","24h","a_few_moment"
28481,"I relaxed and played Mass Effect on my computer.","technology|entertainment","yes","no","27","USA","f","married","n","24h","at_least_one_hour"
28502,"I managed to make $80 from writing.","education","yes","no","21.0","USA","f","single","n","24h","half_a_day"
28509,"A friend took me to lunch today.","food","yes","yes","56","USA","f","married","n","24h","all_day_im_still_feeling_it"
28534,"I watched the entirety of Pharrell's new 24-hour music video ""Happy""aon mute, in 2-hour chunks, over the course of several days; that is how I am still alive.","entertainment","yes","no","32","IND","f","married","y","24h","all_day_im_still_feeling_it"
28552,"I was able to achieve something difficult at work that made my co-worker really happy.","career","yes","yes","39","USA","f","single","n","24h","at_least_one_hour"
28568,"I helped plan a surprise party for my Mom's 70th birthday party coming up.","party|family","yes","yes","28.0","USA","m","single","n","24h","at_least_one_hour"
28570,"I ate a delicious dinner with my husband.","family|food","yes","yes","35.0","USA","f","married","n","24h","at_least_one_hour"
