stock,sector
A    ,Health Care
AA   ,Materials
AAL  ,Industrials
AAP  ,Consumer Discretionary
AAPL ,Information Technology
ABBV ,Health Care
ABC  ,Health Care
ABT  ,Health Care
ACN  ,Information Technology
ADBE ,Information Technology
ADI  ,Information Technology
ADM  ,Consumer Staples
ADP  ,Information Technology
ADS  ,Information Technology
ADSK ,Information Technology
ADT  ,Industrials
AEE  ,Utilities
AEP  ,Utilities
AES  ,Utilities
AET  ,Health Care
AFL  ,Financials
AGN  ,Health Care
AIG  ,Financials
AIV  ,Financials
AIZ  ,Financials
AKAM ,Information Technology
ALL  ,Financials
ALLE ,Industrials
ALTR ,Information Technology
ALXN ,Health Care
AMAT ,Information Technology
AMD  ,Information Technology
AME  ,Industrials
AMG  ,Financials
AMGN ,Health Care
AMP  ,Financials
AMT  ,Financials
AMZN ,Consumer Discretionary
AN   ,Consumer Discretionary
ANF  ,Consumer Discretionary
ANTM ,Health Care
AON  ,Financials
APA  ,Energy
APC  ,Energy
APD  ,Materials
APH  ,Industrials
APOL ,Consumer Discretionary
ARG  ,Energy
ATI  ,Industrials
ATVI ,Information Technology
AVB  ,Real Estate
AVGO ,Information Technology
AVP  ,Consumer Discretionary
AVY  ,Materials
AXP  ,Financials
AZO  ,Consumer Discretionary
BA   ,Industrials
BAC  ,Financials
BAX  ,Health Care
BBBY ,Consumer Discretionary
BBT  ,Financials
BBY  ,Consumer Discretionary
BCR  ,Health Care
BDX  ,Health Care
BEAM ,Consumer Staples
BEN  ,Financials
BF/B ,Consumer Staples
BHI  ,Energy
BIG  ,Consumer Discretionary
BIIB ,Health Care
BK   ,Financials
BLK  ,Financials
BLL  ,Materials
BMC  ,Information Technology
BMS  ,Consumer Discretionary
BMY  ,Health Care
BRCM ,Information Technology
BRK/B,Financials
BSX  ,Health Care
BWA  ,Consumer Discretionary
BXLT ,Health Care
BXP  ,Financials
C    ,Financials
CA   ,Information Technology
CAG  ,Consumer Staples
CAH  ,Health Care
CAM  ,Energy
CAT  ,Industrials
CB   ,Financials
CBE  ,Industrials
CBG  ,Financials
CBS  ,Consumer Discretionary
CCE  ,Consumer Staples
CCI  ,Financials
CCL  ,Consumer Discretionary
CEG  ,Energy
CELG ,Health Care
CERN ,Health Care
CF   ,Materials
CFN  ,Health Care
CHD  ,Consumer Staples
CHK  ,Energy
CHRW ,Industrials
CI   ,Health Care
CINF ,Financials
CL   ,Consumer Staples
CLF  ,Materials
CLX  ,Consumer Staples
CMA  ,Financials
CMCSA,Consumer Discretionary
CMCSK,Consumer Discretionary
CME  ,Financials
CMG  ,Consumer Discretionary
CMI  ,Industrials
CMS  ,Utilities
CNP  ,Utilities
CNX  ,Materials
COF  ,Financials
COG  ,Energy
COH  ,Consumer Discretionary
COL  ,Industrials
COP  ,Energy
COST ,Consumer Staples
COV  ,Health Care
CPB  ,Consumer Staples
CPGX ,Industrials
CRM  ,Information Technology
CSC  ,Information Technology
CSCO ,Information Technology
CSRA ,Information Technology
CSX  ,Industrials
CTAS ,Industrials
CTL  ,Telecommunications Services
CTSH ,Information Technology
CTXS ,Information Technology
CVC  ,Consumer Discretionary
CVH  ,Health Care
CVS  ,Consumer Staples
CVX  ,Energy
D    ,Utilities
DAL  ,Industrials
DD   ,Materials
DE   ,Industrials
DELL ,Information Technology
DF   ,Consumer Staples
DFS  ,Financials
DG   ,Consumer Discretionary
DGX  ,Health Care
DHI  ,Consumer Discretionary
DHR  ,Industrials
DIS  ,Consumer Discretionary
DISCA,Consumer Discretionary
DISCK,Consumer Discretionary
DLPH ,Consumer Discretionary
DLTR ,Consumer Discretionary
DNB  ,Industrials
DNR  ,Energy
DO   ,Energy
DOV  ,Industrials
DOW  ,Materials
DPS  ,Consumer Staples
DRI  ,Consumer Discretionary
DTE  ,Utilities
DTV  ,Energy
DUK  ,Utilities
DV   ,Consumer Discretionary
DVA  ,Health Care
DVN  ,Energy
EA   ,Information Technology
EBAY ,Information Technology
ECL  ,Materials
ED   ,Utilities
EFX  ,Financials
EIX  ,Health Care
EL   ,Consumer Staples
EMC  ,Information Technology
EMN  ,Materials
EMR  ,Industrials
ENDP ,Health Care
EOG  ,Energy
EP   ,Energy
EQIX ,Information Technology
EQR  ,Financials
EQT  ,Energy
ES   ,Utilities
ESRX ,Health Care
ESS  ,Financials
ESV  ,Energy
ETFC ,Financials
ETN  ,Industrials
ETR  ,Utilities
EW   ,Health Care
EXC  ,Utilities
EXPD ,Industrials
EXPE ,Consumer Discretionary
F    ,Consumer Discretionary
FAST ,Industrials
FB   ,Information Technology
FCX  ,Materials
FDO  ,Consumer Discretionary
FDX  ,Industrials
FE   ,Utilities
FFIV ,Information Technology
FHN  ,Financials
FII  ,Financials
FIS  ,Information Technology
FISV ,Information Technology
FITB ,Financials
FLIR ,Industrials
FLR  ,Industrials
FLS  ,Industrials
FMC  ,Materials
FOSL ,Consumer Discretionary
FOX  ,Consumer Discretionary
FOXA ,Consumer Discretionary
FRX  ,Health Care
FSLR ,Information Technology
FTI  ,Energy
FTR  ,Telecommunications Services
GAS  ,Energy
GD   ,Industrials
GE   ,Industrials
GGP  ,Financials
GHC  ,Consumer Discretionary
GILD ,Health Care
GIS  ,Consumer Staples
GLW  ,Industrials
GM   ,Consumer Discretionary
GMCR ,Consumer Staples
GME  ,Consumer Discretionary
GNW  ,Financials
GOOG ,Information Technology
GOOGL,Information Technology
GPC  ,Consumer Discretionary
GPS  ,Consumer Discretionary
GR   ,Industrials
GRMN ,Consumer Discretionary
GS   ,Financials
GT   ,Consumer Discretionary
GWW  ,Industrials
HAL  ,Energy
HAR  ,Consumer Discretionary
HAS  ,Consumer Discretionary
HBAN ,Financials
HBI  ,Consumer Discretionary
HCA  ,Health Care
HCBK ,Financials
HCN  ,Financials
HCP  ,Financials
HD   ,Consumer Discretionary
HES  ,Energy
HIG  ,Financials
HNZ  ,Consumer Staples
HOG  ,Consumer Discretionary
HON  ,Industrials
HOT  ,Consumer Discretionary
HP   ,Energy
HPE  ,Information Technology
HPQ  ,Information Technology
HRB  ,Financials
HRL  ,Consumer Staples
HRS  ,Information Technology
HSIC ,Health Care
HSP  ,Health Care
HST  ,Financials
HSY  ,Consumer Staples
HUM  ,Health Care
IBM  ,Information Technology
ICE  ,Financials
IFF  ,Materials
IGT  ,Consumer Discretionary
ILMN ,Health Care
INTC ,Information Technology
INTU ,Information Technology
IP   ,Materials
IPG  ,Consumer Discretionary
IR   ,Industrials
IRM  ,Industrials
ISRG ,Health Care
ITW  ,Industrials
IVZ  ,Financials
JBHT ,Industrials
JBL  ,Information Technology
JCI  ,Consumer Discretionary
JCP  ,Consumer Discretionary
JEC  ,Industrials
JNJ  ,Health Care
JNPR ,Information Technology
JOY  ,Industrials
JPM  ,Financials
JWN  ,Consumer Discretionary
K    ,Consumer Staples
KEY  ,Financials
KHC  ,Consumer Staples
KIM  ,Financials
KLAC ,Information Technology
KMB  ,Consumer Staples
KMI  ,Energy
KMX  ,Consumer Discretionary
KO   ,Consumer Staples
KORS ,Consumer Discretionary
KR   ,Consumer Staples
KSS  ,Consumer Discretionary
KSU  ,Industrials
L    ,Financials
LB   ,Consumer Discretionary
LEG  ,Industrials
LEN  ,Consumer Discretionary
LH   ,Health Care
LLL  ,Industrials
LLTC ,Information Technology
LLY  ,Health Care
