,V1,V2,ID,Gender,Population,Geographic.origin,Geographic.area,region,distance,latitude,longtitude
1,-975.949957521552,-891.326249418936,HGDP00448,M,Biaka Pygmies,Central African Republic,Central Africa,Africa,2384.859098,4,17
2,-755.565056483523,-1331.5508745873,HGDP00479,M,Biaka Pygmies,Central African Republic,Central Africa,Africa,2384.859098,4,17
3,-1313.62109174137,-1461.06858941735,HGDP00985,M,Biaka Pygmies,Central African Republic,Central Africa,Africa,2384.859098,4,17
4,-958.572260725577,-861.604456046274,HGDP01094,M,Biaka Pygmies,Central African Republic,Central Africa,Africa,2384.859098,4,17
5,-1675.43923579102,1485.19821332266,HGDP00982,M,Mbuti Pygmies,Democratic Republic of Congo,Central Africa,Africa,1335.495772,1,29
6,2094.95903387773,-42.8600316999469,HGDP00911,M,Mandenka,Senegal,Central Africa,Africa,5469.912857,12,-12
7,2094.97950109516,-37.601267622714,HGDP01202,M,Mandenka,Senegal,Central Africa,Africa,5469.912857,12,-12
8,610.688842238284,-62.6986671579277,HGDP00927,M,Yoruba,Nigeria,Central Africa,Africa,3629.688739,8,5
9,-1284.10609219067,-1294.61485771183,HGDP00461,M,Biaka Pygmies,Central African Republic,Central Africa,Africa,2384.859098,4,17
10,-815.444997477026,-1201.27065170284,HGDP00451,M,Biaka Pygmies,Central African Republic,Central Africa,Africa,2384.859098,4,17
11,-1424.21076648439,-824.088538623923,HGDP00986,M,Biaka Pygmies,Central African Republic,Central Africa,Africa,2384.859098,4,17
12,-1780.27612146501,1623.96736768146,HGDP00449,M,Mbuti Pygmies,Democratic Republic of Congo,Central Africa,Africa,1335.495772,1,29
13,-1410.51558300002,1154.10140949186,HGDP00983,M,Mbuti Pygmies,Democratic Republic of Congo,Central Africa,Africa,1335.495772,1,29
14,2112.94944333829,-44.08997767928,HGDP00912,M,Mandenka,Senegal,Central Africa,Africa,5469.912857,12,-12
15,1697.073696637,444.126745788285,HGDP01283,M,Mandenka,Senegal,Central Africa,Africa,5469.912857,12,-12
16,547.877886039728,292.840249337382,HGDP00928,F,Yoruba,Nigeria,Central Africa,Africa,3629.688739,8,5
17,614.065172165108,-49.8349213513357,HGDP00937,M,Yoruba,Nigeria,Central Africa,Africa,3629.688739,8,5
18,322.141113403027,299.331163887827,HGDP01408,M,Bantu,Kenya,Central Africa,Africa,2730.422,-3,37
19,-1021.40641181086,668.653958092776,HGDP00991,M,San ,Namidia,Central Africa,Africa,3872.417228,-21,20
20,289.148420066352,273.435824254091,HGDP01031,M,Bantu,South Africa,South Africa,Africa,2730.422,-3,37
21,-2583.53984958994,-355.23288212183,HGDP01263,M,Mozabite,Algeria (Mzab),Northern Africa,Middle East,4418.170045,32,3
22,-2987.46211481895,-408.162569664977,HGDP01275,F,Mozabite,Algeria (Mzab),Northern Africa,Middle East,4418.170045,32,3
23,-2140.00238218906,-268.76160575456,HGDP00611,M,Bedouin,Israel (Negev),Israel,Middle East,2844.946131,31,35
24,-2394.31332371557,-173.647143929807,HGDP00623,M,Bedouin,Israel (Negev),Israel,Middle East,2844.946131,31,35
25,-2148.18733062039,-269.432441241896,HGDP00634,F,Bedouin,Israel (Negev),Israel,Middle East,2844.946131,31,35
26,-1610.57391227048,-333.495354394884,HGDP00645,M,Bedouin,Israel (Negev),Israel,Middle East,2844.946131,31,35
27,-2074.38894852818,-474.054136892752,HGDP00557,F,Druze,Israel (Carmel),Israel,Middle East,2887.253661,32,35
28,-2124.89882855373,-259.583965197171,HGDP00569,F,Druze,Israel (Carmel),Israel,Middle East,2887.253661,32,35
29,-2463.85889406127,-599.694316740551,HGDP00581,F,Druze,Israel (Carmel),Israel,Middle East,2887.253661,32,35
30,-2154.93788181941,-307.843305235215,HGDP00594,M,Druze,Israel (Carmel),Israel,Middle East,2887.253661,32,35
31,-1988.0243323207,-419.416473249,HGDP00675,M,Palestinian,Israel (Central),Israel,Middle East,2887.253661,32,35
32,-2071.06971141108,-485.067047260072,HGDP00687,F,Palestinian,Israel (Central),Israel,Middle East,2887.253661,32,35
33,-2076.18152901737,-495.528901598355,HGDP00697,F,Palestinian,Israel (Central),Israel,Middle East,2887.253661,32,35
34,-1984.57692192811,-421.001693217526,HGDP00729,M,Palestinian,Israel (Central),Israel,Middle East,2887.253661,32,35
35,-2155.33602106449,-283.414125975232,HGDP00741,F,Palestinian,Israel (Central),Israel,Middle East,2887.253661,32,35
36,56.1915727994806,1142.0781409832,HGDP00011,M,Brahui,Pakistan,Pakistan,Central/South Asia,5842.077841,30.5,66.5
37,297.644259398865,1310.81791982129,HGDP00035,M,Brahui,Pakistan,Pakistan,Central/South Asia,5842.077841,30.5,66.5
38,352.378573951027,1449.67493833498,HGDP00058,M,Balochi,Pakistan,Pakistan,Central/South Asia,5842.077841,30.5,66.5
39,549.793642270006,863.096199003882,HGDP00082,M,Balochi,Pakistan,Pakistan,Central/South Asia,5842.077841,30.5,66.5
40,2025.57365270788,-33.7308342679447,HGDP00103,M,Hazara,Pakistan,Pakistan,Central/South Asia,6132.580278,33.5,70
41,644.626078690721,-27.220235859913,HGDP00938,F,Yoruba,Nigeria,Central Africa,Africa,3629.688739,8,5
42,574.086588066592,86.2596822997642,HGDP01411,M,Bantu,Kenya,Central Africa,Africa,2730.422,-3,37
43,-2986.64255176055,-406.865403181528,HGDP01264,M,Mozabite,Algeria (Mzab),Northern Africa,Middle East,4418.170045,32,3
44,-2987.68832858223,-407.33162497035,HGDP01276,F,Mozabite,Algeria (Mzab),Northern Africa,Middle East,4418.170045,32,3
45,-2377.15904197976,-159.133659197393,HGDP00612,F,Bedouin,Israel (Negev),Israel,Middle East,2844.946131,31,35
46,-2451.07881492785,-233.250124696386,HGDP00624,M,Bedouin,Israel (Negev),Israel,Middle East,2844.946131,31,35
47,-2146.14824630707,-546.474723977061,HGDP00635,F,Bedouin,Israel (Negev),Israel,Middle East,2844.946131,31,35
48,-2086.0583887397,-231.253057408654,HGDP00646,F,Bedouin,Israel (Negev),Israel,Middle East,2844.946131,31,35
49,-1998.1634079402,-428.942944450057,HGDP00558,F,Druze,Israel (Carmel),Israel,Middle East,2887.253661,32,35
50,-2085.74627790413,-505.554731403028,HGDP00570,F,Druze,Israel (Carmel),Israel,Middle East,2887.253661,32,35
51,-2132.71423364747,-275.030187129602,HGDP00582,F,Druze,Israel (Carmel),Israel,Middle East,2887.253661,32,35
52,-1956.22223209439,-392.525206637976,HGDP00595,M,Druze,Israel (Carmel),Israel,Middle East,2887.253661,32,35
53,-2015.49140141492,-447.489739808085,HGDP00676,M,Palestinian,Israel (Central),Israel,Middle East,2887.253661,32,35
54,-2084.73623516476,-504.490879486125,HGDP00688,F,Palestinian,Israel (Central),Israel,Middle East,2887.253661,32,35
55,-2117.62838628002,-526.375547844125,HGDP00698,F,Palestinian,Israel (Central),Israel,Middle East,2887.253661,32,35
56,-2106.75833137743,-272.04544800358,HGDP00730,M,Palestinian,Israel (Central),Israel,Middle East,2887.253661,32,35
57,-2021.07005935871,-450.768120021841,HGDP00742,F,Palestinian,Israel (Central),Israel,Middle East,2887.253661,32,35
58,-270.395006172883,1499.06595571206,HGDP00013,M,Brahui,Pakistan,Pakistan,Central/South Asia,5842.077841,30.5,66.5
59,114.173440791696,1667.27332697338,HGDP00037,M,Brahui,Pakistan,Pakistan,Central/South Asia,5842.077841,30.5,66.5
60,342.24816922282,1303.06586725111,HGDP00060,M,Balochi,Pakistan,Pakistan,Central/South Asia,5842.077841,30.5,66.5
61,368.383952393775,730.31292800066,HGDP00084,M,Balochi,Pakistan,Pakistan,Central/South Asia,5842.077841,30.5,66.5
62,1903.15309491323,65.0913424227635,HGDP00104,M,Hazara,Pakistan,Pakistan,Central/South Asia,6132.580278,33.5,70
63,-960.351839613304,-865.02905793054,HGDP00464,M,Biaka Pygmies,Central African Republic,Central Africa,Africa,2384.859098,4,17
64,-1339.07861280006,-704.711399619031,HGDP01084,F,Biaka Pygmies,Central African Republic,Central Africa,Africa,2384.859098,4,17
65,-1406.09173977993,1144.48296387341,HGDP00450,M,Mbuti Pygmies,Democratic Republic of Congo,Central Africa,Africa,1335.495772,1,29
66,-1414.09971188451,1159.36272099084,HGDP00984,M,Mbuti Pygmies,Democratic Republic of Congo,Central Africa,Africa,1335.495772,1,29
67,1544.67775008879,-45.7564861789829,HGDP00913,M,Mandenka,Senegal,Central Africa,Africa,5469.912857,12,-12
68,2088.02982457799,-37.1524541734991,HGDP01284,M,Mandenka,Senegal,Central Africa,Africa,5469.912857,12,-12
69,615.703318240625,-49.9367248943333,HGDP00929,M,Yoruba,Nigeria,Central Africa,Africa,3629.688739,8,5
70,622.422894969443,-42.6748086248303,HGDP00939,F,Yoruba,Nigeria,Central Africa,Africa,3629.688739,8,5
71,200.844876957595,-42.1022895160226,HGDP01412,M,Bantu,Kenya,Central Africa,Africa,2730.422,-3,37
72,-1021.64951029106,670.085291527937,HGDP01029,M,San ,Namidia,Central Africa,Africa,3872.417228,-21,20
73,-3390.34293099695,-462.920070063805,HGDP01253,M,Mozabite,Algeria (Mzab),Northern Africa,Middle East,4418.170045,32,3
74,-2989.8121411302,-409.135133940757,HGDP01265,M,Mozabite,Algeria (Mzab),Northern Africa,Middle East,4418.170045,32,3
75,-3395.02491666799,-463.048639108601,HGDP01277,F,Mozabite,Algeria (Mzab),Northern Africa,Middle East,4418.170045,32,3
76,-2150.20764647546,-559.778541029276,HGDP00613,F,Bedouin,Israel (Negev),Israel,Middle East,2844.946131,31,35
77,-2523.22795034407,-304.028222341487,HGDP00636,F,Bedouin,Israel (Negev),Israel,Middle East,2844.946131,31,35
78,-2162.03708091341,-553.083329157988,HGDP00647,F,Bedouin,Israel (Negev),Israel,Middle East,2844.946131,31,35
79,-2056.15326538401,-463.789496989207,HGDP00559,F,Druze,Israel (Carmel),Israel,Middle East,2887.253661,32,35
80,-2353.52458567631,-354.030947987437,HGDP00571,F,Druze,Israel (Carmel),Israel,Middle East,2887.253661,32,35
81,-1967.12263144958,-403.504580960721,HGDP00583,F,Druze,Israel (Carmel),Israel,Middle East,2887.253661,32,35
82,-2093.96942840321,-502.790353636098,HGDP00597,M,Druze,Israel (Carmel),Israel,Middle East,2887.253661,32,35
83,-2498.88879413691,-330.907192751501,HGDP00677,M,Palestinian,Israel (Central),Israel,Middle East,2887.253661,32,35
84,-2053.61367623746,-472.916687778774,HGDP00689,F,Palestinian,Israel (Central),Israel,Middle East,2887.253661,32,35
85,-1358.79816691598,-1293.22612014492,HGDP00465,M,Biaka Pygmies,Central African Republic,Central Africa,Africa,2384.859098,4,17
86,-1348.09512073119,-1282.28537520381,HGDP01085,F,Biaka Pygmies,Central African Republic,Central Africa,Africa,2384.859098,4,17
87,-1785.17364728033,1635.56186275915,HGDP00456,M,Mbuti Pygmies,Democratic Republic of Congo,Central Africa,Africa,1335.495772,1,29
88,-1778.69806459196,1614.87995257241,HGDP01081,M,Mbuti Pygmies,Democratic Republic of Congo,Central Africa,Africa,1335.495772,1,29
89,1542.61828100985,-48.9058815082929,HGDP00914,F,Mandenka,Senegal,Central Africa,Africa,5469.912857,12,-12
90,1707.52829425712,418.067154300717,HGDP01285,M,Mandenka,Senegal,Central Africa,Africa,5469.912857,12,-12
91,652.91288284415,-25.1046198254023,HGDP00930,M,Yoruba,Nigeria,Central Africa,Africa,3629.688739,8,5
92,854.51488538533,-38.8775025963882,HGDP00940,M,Yoruba,Nigeria,Central Africa,Africa,3629.688739,8,5
93,521.015890412272,312.102068952105,HGDP01413,M,Bantu,Kenya,Central Africa,Africa,2730.422,-3,37
94,-1023.50778295985,672.893391750991,HGDP01032,M,San ,Namidia,Central Africa,Africa,3872.417228,-21,20
95,-2987.94590525451,-407.919750739414,HGDP01254,F,Mozabite,Algeria (Mzab),Northern Africa,Middle East,4418.170045,32,3
96,-2988.5144318201,-408.43779621912,HGDP01266,M,Mozabite,Algeria (Mzab),Northern Africa,Middle East,4418.170045,32,3
97,-2989.84872415617,-409.154389458059,HGDP01278,M,Mozabite,Algeria (Mzab),Northern Africa,Middle East,4418.170045,32,3
98,-2105.76956435477,-238.936989411924,HGDP00614,F,Bedouin,Israel (Negev),Israel,Middle East,2844.946131,31,35
99,-2119.22067777833,-249.77989137475,HGDP00626,M,Bedouin,Israel (Negev),Israel,Middle East,2844.946131,31,35
100,-2122.02054457991,-527.038974071285,HGDP00637,F,Bedouin,Israel (Negev),Israel,Middle East,2844.946131,31,35
101,-2016.42217214617,-140.161429763153,HGDP00648,M,Bedouin,Israel (Negev),Israel,Middle East,2844.946131,31,35
102,-2094.68479206997,-512.537291063029,HGDP00572,F,Druze,Israel (Carmel),Israel,Middle East,2887.253661,32,35
103,-2188.39996243601,-334.59618180781,HGDP00584,F,Druze,Israel (Carmel),Israel,Middle East,2887.253661,32,35
104,-1593.10883950851,-322.354974922072,HGDP00598,M,Druze,Israel (Carmel),Israel,Middle East,2887.253661,32,35
105,-2007.56435745449,-430.385185494496,HGDP00678,M,Palestinian,Israel (Central),Israel,Middle East,2887.253661,32,35
106,-2143.46788980931,-557.072446440545,HGDP00690,F,Palestinian,Israel (Central),Israel,Middle East,2887.253661,32,35
107,-1366.2752673378,-1297.76735723709,HGDP00466,M,Biaka Pygmies,Central African Republic,Central Africa,Africa,2384.859098,4,17
108,-1295.85780578176,-1469.56552020711,HGDP00454,M,Biaka Pygmies,Central African Republic,Central Africa,Africa,2384.859098,4,17
109,-808.606890530212,-1194.72607667005,HGDP01086,M,Biaka Pygmies,Central African Republic,Central Africa,Africa,2384.859098,4,17
110,-1773.76206683037,1611.11817527149,HGDP00462,M,Mbuti Pygmies,Democratic Republic of Congo,Central Africa,Africa,1335.495772,1,29
111,2087.98384936193,-37.6661401234874,HGDP00915,F,Mandenka,Senegal,Central Africa,Africa,5469.912857,12,-12
112,1558.49655639894,-28.4893270194261,HGDP01286,M,Mandenka,Senegal,Central Africa,Africa,5469.912857,12,-12
113,719.250038796263,278.441584176755,HGDP00931,M,Yoruba,Nigeria,Central Africa,Africa,3629.688739,8,5
114,-1021.28757716831,667.969492836275,HGDP00992,M,San ,Namidia,Central Africa,Africa,3872.417228,-21,20
115,291.521212231816,269.040264783704,HGDP00941,M,Yoruba,Nigeria,Central Africa,Africa,3629.688739,8,5
116,318.565784934322,304.502809780974,HGDP01414,F,Bantu,Kenya,Central Africa,Africa,2730.422,-3,37
117,-1022.22003886585,669.479768116428,HGDP01036,M,San ,Namidia,Central Africa,Africa,3872.417228,-21,20
118,-2583.18853779924,-355.206180902717,HGDP01255,M,Mozabite,Algeria (Mzab),Northern Africa,Middle East,4418.170045,32,3
119,-2988.40600616501,-407.771472904863,HGDP01267,F,Mozabite,Algeria (Mzab),Northern Africa,Middle East,4418.170045,32,3
120,-2988.9577599525,-409.600184422711,HGDP01279,M,Mozabite,Algeria (Mzab),Northern Africa,Middle East,4418.170045,32,3
121,-2146.86699073197,-269.487312971019,HGDP00615,F,Bedouin,Israel (Negev),Israel,Middle East,2844.946131,31,35
122,-2390.46495137835,-174.218384931357,HGDP00627,M,Bedouin,Israel (Negev),Israel,Middle East,2844.946131,31,35
123,-2093.18428308788,-502.257597477317,HGDP00638,F,Bedouin,Israel (Negev),Israel,Middle East,2844.946131,31,35
124,-2373.37521017468,-151.069352547614,HGDP00649,F,Bedouin,Israel (Negev),Israel,Middle East,2844.946131,31,35
125,-2092.47626092269,-505.818575072724,HGDP00561,F,Druze,Israel (Carmel),Israel,Middle East,2887.253661,32,35
126,-1935.95124304581,-369.747730134411,HGDP00573,F,Druze,Israel (Carmel),Israel,Middle East,2887.253661,32,35
127,-2462.41808297037,-328.054246975872,HGDP00585,F,Druze,Israel (Carmel),Israel,Middle East,2887.253661,32,35
128,-2637.82111849116,-439.391578657637,HGDP00599,M,Druze,Israel (Carmel),Israel,Middle East,2887.253661,32,35
129,-2609.6559713877,-720.289424698654,HGDP00679,F,Palestinian,Israel (Central),Israel,Middle East,2887.253661,32,35
