,V1,V2,ID,Gender,Population,Geographic.origin,Geographic.area,region,distance,latitude,longtitude
1,327.639952838423,235.085760228477,HGDP00448,M,Biaka Pygmies,Central African Republic,Central Africa,Africa,2384.859098,4,17
2,346.051611464666,-783.349356694513,HGDP00479,M,Biaka Pygmies,Central African Republic,Central Africa,Africa,2384.859098,4,17
3,-405.026520240453,240.699148880115,HGDP00985,M,Biaka Pygmies,Central African Republic,Central Africa,Africa,2384.859098,4,17
4,-217.180949732986,204.258041616146,HGDP01094,M,Biaka Pygmies,Central African Republic,Central Africa,Africa,2384.859098,4,17
5,641.716961409978,-315.284980862292,HGDP00982,M,Mbuti Pygmies,Democratic Republic of Congo,Central Africa,Africa,1335.495772,1,29
6,-1501.0142117978,-238.588095373181,HGDP00911,M,Mandenka,Senegal,Central Africa,Africa,5469.912857,12,-12
7,-1656.59924672392,875.748412222885,HGDP01202,M,Mandenka,Senegal,Central Africa,Africa,5469.912857,12,-12
8,748.193173226548,-1025.48914079954,HGDP00927,M,Yoruba,Nigeria,Central Africa,Africa,3629.688739,8,5
9,180.202426710454,-157.877730109176,HGDP00461,M,Biaka Pygmies,Central African Republic,Central Africa,Africa,2384.859098,4,17
10,-1569.9358336222,3.12068570575274,HGDP00451,M,Biaka Pygmies,Central African Republic,Central Africa,Africa,2384.859098,4,17
11,625.70266034096,-355.516493341294,HGDP00986,M,Biaka Pygmies,Central African Republic,Central Africa,Africa,2384.859098,4,17
12,506.924526858031,-214.474878575697,HGDP00449,M,Mbuti Pygmies,Democratic Republic of Congo,Central Africa,Africa,1335.495772,1,29
13,302.805148345093,-758.241611442417,HGDP00983,M,Mbuti Pygmies,Democratic Republic of Congo,Central Africa,Africa,1335.495772,1,29
14,-1523.93825217582,-236.852936217617,HGDP00912,M,Mandenka,Senegal,Central Africa,Africa,5469.912857,12,-12
15,-2094.9371727844,-373.441974501249,HGDP01283,M,Mandenka,Senegal,Central Africa,Africa,5469.912857,12,-12
16,119.655404937768,-173.904802935885,HGDP00928,F,Yoruba,Nigeria,Central Africa,Africa,3629.688739,8,5
17,1253.87194576655,-1470.75704794691,HGDP00937,M,Yoruba,Nigeria,Central Africa,Africa,3629.688739,8,5
18,422.613025986152,350.251243584558,HGDP01408,M,Bantu,Kenya,Central Africa,Africa,2730.422,-3,37
19,-2.16530710776967,-81.6263445281813,HGDP00991,M,San ,Namidia,Central Africa,Africa,3872.417228,-21,20
20,1059.12496503653,-37.3700566489921,HGDP01031,M,Bantu,South Africa,South Africa,Africa,2730.422,-3,37
21,-332.918743953532,78.2030459987662,HGDP01263,M,Mozabite,Algeria (Mzab),Northern Africa,Middle East,4418.170045,32,3
22,-176.471008963191,15.1913314806992,HGDP01275,F,Mozabite,Algeria (Mzab),Northern Africa,Middle East,4418.170045,32,3
23,-1439.95203249939,613.561908825264,HGDP00611,M,Bedouin,Israel (Negev),Israel,Middle East,2844.946131,31,35
24,-3587.16397341047,1425.34301307396,HGDP00623,M,Bedouin,Israel (Negev),Israel,Middle East,2844.946131,31,35
25,-1011.92791313407,-678.54658202148,HGDP00634,F,Bedouin,Israel (Negev),Israel,Middle East,2844.946131,31,35
26,-1294.38539762134,-744.217478538204,HGDP00645,M,Bedouin,Israel (Negev),Israel,Middle East,2844.946131,31,35
27,-500.835148409052,-1075.61319461822,HGDP00557,F,Druze,Israel (Carmel),Israel,Middle East,2887.253661,32,35
28,-407.372528659046,-323.564945693636,HGDP00569,F,Druze,Israel (Carmel),Israel,Middle East,2887.253661,32,35
29,-1197.52575068918,-2007.16625461784,HGDP00581,F,Druze,Israel (Carmel),Israel,Middle East,2887.253661,32,35
30,-442.381303682671,-710.465853383802,HGDP00594,M,Druze,Israel (Carmel),Israel,Middle East,2887.253661,32,35
31,-2493.81655302308,445.778519691527,HGDP00675,M,Palestinian,Israel (Central),Israel,Middle East,2887.253661,32,35
32,-1469.75584584663,159.817682583241,HGDP00687,F,Palestinian,Israel (Central),Israel,Middle East,2887.253661,32,35
33,-1277.97775647902,0.988997871994397,HGDP00697,F,Palestinian,Israel (Central),Israel,Middle East,2887.253661,32,35
