,V1,V2,ID,Gender,Population,Geographic.origin,Geographic.area,region,distance,latitude,longtitude
HGDP00448,-119649.540083534,-98188.3178302069,HGDP00448,M,Biaka Pygmies,Central African Republic,Central Africa,Africa,2384.859098,4,17
HGDP00479,-118341.617361377,-97164.9498988632,HGDP00479,M,Biaka Pygmies,Central African Republic,Central Africa,Africa,2384.859098,4,17
HGDP00985,-119016.296462274,-98097.110106855,HGDP00985,M,Biaka Pygmies,Central African Republic,Central Africa,Africa,2384.859098,4,17
HGDP01094,-118063.96630673,-95706.2064865125,HGDP01094,M,Biaka Pygmies,Central African Republic,Central Africa,Africa,2384.859098,4,17
HGDP00982,-117867.541006649,-99363.0716394608,HGDP00982,M,Mbuti Pygmies,Democratic Republic of Congo,Central Africa,Africa,1335.495772,1,29
HGDP00911,-109179.115990678,-83560.8128576145,HGDP00911,M,Mandenka,Senegal,Central Africa,Africa,5469.912857,12,-12
HGDP01202,-110375.796847543,-85099.4237758488,HGDP01202,M,Mandenka,Senegal,Central Africa,Africa,5469.912857,12,-12
HGDP00927,-112387.931351403,-87395.1515382387,HGDP00927,M,Yoruba,Nigeria,Central Africa,Africa,3629.688739,8,5
HGDP00461,-119166.49336822,-98436.4189208195,HGDP00461,M,Biaka Pygmies,Central African Republic,Central Africa,Africa,2384.859098,4,17
HGDP00451,-120254.428663867,-98249.1160486341,HGDP00451,M,Biaka Pygmies,Central African Republic,Central Africa,Africa,2384.859098,4,17
HGDP00986,-119210.064099428,-97686.8930421092,HGDP00986,M,Biaka Pygmies,Central African Republic,Central Africa,Africa,2384.859098,4,17
HGDP00449,-117963.918739969,-98044.2309750119,HGDP00449,M,Mbuti Pygmies,Democratic Republic of Congo,Central Africa,Africa,1335.495772,1,29
HGDP00983,-118293.534701559,-99456.8011738241,HGDP00983,M,Mbuti Pygmies,Democratic Republic of Congo,Central Africa,Africa,1335.495772,1,29
HGDP00912,-111422.246029173,-84874.1893104868,HGDP00912,M,Mandenka,Senegal,Central Africa,Africa,5469.912857,12,-12
HGDP01283,-110017.448233458,-82088.2114772347,HGDP01283,M,Mandenka,Senegal,Central Africa,Africa,5469.912857,12,-12
HGDP00928,-111885.018203252,-87106.0386846184,HGDP00928,F,Yoruba,Nigeria,Central Africa,Africa,3629.688739,8,5
HGDP00937,-112435.158513947,-86698.473166869,HGDP00937,M,Yoruba,Nigeria,Central Africa,Africa,3629.688739,8,5
HGDP01408,-108154.876387082,-81660.9856798568,HGDP01408,M,Bantu,Kenya,Central Africa,Africa,2730.422,-3,37
HGDP00991,-113377.874980527,-93664.0989545437,HGDP00991,M,San ,Namidia,Central Africa,Africa,3872.417228,-21,20
HGDP01031,-111681.451426111,-87366.2464884079,HGDP01031,M,Bantu,South Africa,South Africa,Africa,2730.422,-3,37
HGDP01263,-43399.1687438796,33726.0632564374,HGDP01263,M,Mozabite,Algeria (Mzab),Northern Africa,Middle East,4418.170045,32,3
HGDP01275,-46942.0372428793,30112.1733829331,HGDP01275,F,Mozabite,Algeria (Mzab),Northern Africa,Middle East,4418.170045,32,3
HGDP00611,-40306.9370809951,34084.2223132139,HGDP00611,M,Bedouin,Israel (Negev),Israel,Middle East,2844.946131,31,35
HGDP00623,-35198.2842778821,46054.1589992584,HGDP00623,M,Bedouin,Israel (Negev),Israel,Middle East,2844.946131,31,35
HGDP00634,-37985.2195174386,37715.0975245899,HGDP00634,F,Bedouin,Israel (Negev),Israel,Middle East,2844.946131,31,35
HGDP00645,-34947.8674306875,40443.9367051156,HGDP00645,M,Bedouin,Israel (Negev),Israel,Middle East,2844.946131,31,35
