,V1,V2,ID,Gender,Population,Geographic.origin,Geographic.area,region,distance,latitude,longtitude
HGDP00448,-199.678373524575,-199.628993361605,HGDP00448,M,Biaka Pygmies,Central African Republic,Central Africa,Africa,2384.859098,4,17
HGDP00479,-196.671364844457,-197.504206608479,HGDP00479,M,Biaka Pygmies,Central African Republic,Central Africa,Africa,2384.859098,4,17
HGDP00985,-198.574456305608,-199.181374864154,HGDP00985,M,Biaka Pygmies,Central African Republic,Central Africa,Africa,2384.859098,4,17
HGDP01094,-196.75928681609,-195.101596879076,HGDP01094,M,Biaka Pygmies,Central African Republic,Central Africa,Africa,2384.859098,4,17
HGDP00982,-198.74950042199,-202.548929109175,HGDP00982,M,Mbuti Pygmies,Democratic Republic of Congo,Central Africa,Africa,1335.495772,1,29
HGDP00911,-180.044564312553,-168.364571554965,HGDP00911,M,Mandenka,Senegal,Central Africa,Africa,5469.912857,12,-12
HGDP01202,-180.836917036935,-172.458019722101,HGDP01202,M,Mandenka,Senegal,Central Africa,Africa,5469.912857,12,-12
HGDP00927,-184.081338674944,-176.026485225572,HGDP00927,M,Yoruba,Nigeria,Central Africa,Africa,3629.688739,8,5
HGDP00461,-198.542613567866,-200.011888027421,HGDP00461,M,Biaka Pygmies,Central African Republic,Central Africa,Africa,2384.859098,4,17
HGDP00451,-200.703177545489,-200.411681452661,HGDP00451,M,Biaka Pygmies,Central African Republic,Central Africa,Africa,2384.859098,4,17
HGDP00986,-198.384502311205,-198.38935689728,HGDP00986,M,Biaka Pygmies,Central African Republic,Central Africa,Africa,2384.859098,4,17
HGDP00449,-199.254851484,-199.28687083546,HGDP00449,M,Mbuti Pygmies,Democratic Republic of Congo,Central Africa,Africa,1335.495772,1,29
HGDP00983,-199.056287377399,-202.468299084564,HGDP00983,M,Mbuti Pygmies,Democratic Republic of Congo,Central Africa,Africa,1335.495772,1,29
HGDP00912,-182.384551742754,-171.866057918182,HGDP00912,M,Mandenka,Senegal,Central Africa,Africa,5469.912857,12,-12
HGDP01283,-181.045559353535,-167.197620076592,HGDP01283,M,Mandenka,Senegal,Central Africa,Africa,5469.912857,12,-12
HGDP00928,-183.176289839139,-175.77850843495,HGDP00928,F,Yoruba,Nigeria,Central Africa,Africa,3629.688739,8,5
HGDP00937,-184.02004290076,-175.169674352082,HGDP00937,M,Yoruba,Nigeria,Central Africa,Africa,3629.688739,8,5
HGDP01408,-177.804926294655,-166.309968736272,HGDP01408,M,Bantu,Kenya,Central Africa,Africa,2730.422,-3,37
HGDP00991,-193.614841789519,-190.75897561257,HGDP00991,M,San ,Namidia,Central Africa,Africa,3872.417228,-21,20
HGDP01031,-183.497001707893,-176.752206926524,HGDP01031,M,Bantu,South Africa,South Africa,Africa,2730.422,-3,37
HGDP01263,-83.5179989136478,52.6392657871078,HGDP01263,M,Mozabite,Algeria (Mzab),Northern Africa,Middle East,4418.170045,32,3
HGDP01275,-89.2623319619751,45.6595880460463,HGDP01275,F,Mozabite,Algeria (Mzab),Northern Africa,Middle East,4418.170045,32,3
HGDP00611,-78.3639778975445,54.1051810151204,HGDP00611,M,Bedouin,Israel (Negev),Israel,Middle East,2844.946131,31,35
HGDP00623,-74.8397336779057,78.2732357868921,HGDP00623,M,Bedouin,Israel (Negev),Israel,Middle East,2844.946131,31,35
HGDP00634,-76.7120130018454,61.7390085553519,HGDP00634,F,Bedouin,Israel (Negev),Israel,Middle East,2844.946131,31,35
HGDP00645,-72.5520534911943,68.0244439757241,HGDP00645,M,Bedouin,Israel (Negev),Israel,Middle East,2844.946131,31,35
HGDP00557,-61.6846305223742,98.2944919066071,HGDP00557,F,Druze,Israel (Carmel),Israel,Middle East,2887.253661,32,35
HGDP00569,-63.3210120759934,93.9201475674876,HGDP00569,F,Druze,Israel (Carmel),Israel,Middle East,2887.253661,32,35
HGDP00581,-56.2596628792132,94.9756652457714,HGDP00581,F,Druze,Israel (Carmel),Israel,Middle East,2887.253661,32,35
HGDP00594,-60.8328906422403,95.2531209745745,HGDP00594,M,Druze,Israel (Carmel),Israel,Middle East,2887.253661,32,35
HGDP00675,-68.0366345070802,82.3215779194334,HGDP00675,M,Palestinian,Israel (Central),Israel,Middle East,2887.253661,32,35
HGDP00687,-67.0556864055357,84.8866174964335,HGDP00687,F,Palestinian,Israel (Central),Israel,Middle East,2887.253661,32,35
HGDP00697,-67.9625972905404,84.5573112851493,HGDP00697,F,Palestinian,Israel (Central),Israel,Middle East,2887.253661,32,35
HGDP00729,-65.4601050467546,76.3775423089113,HGDP00729,M,Palestinian,Israel (Central),Israel,Middle East,2887.253661,32,35
HGDP00741,-65.9482756684553,77.7089347539331,HGDP00741,F,Palestinian,Israel (Central),Israel,Middle East,2887.253661,32,35
HGDP00011,-32.9900848864595,73.259428555309,HGDP00011,M,Brahui,Pakistan,Pakistan,Central/South Asia,5842.077841,30.5,66.5
HGDP00035,-32.6086498195395,65.8753423658888,HGDP00035,M,Brahui,Pakistan,Pakistan,Central/South Asia,5842.077841,30.5,66.5
HGDP00058,-28.0357372046639,70.9677127354255,HGDP00058,M,Balochi,Pakistan,Pakistan,Central/South Asia,5842.077841,30.5,66.5
HGDP00082,-28.7170028142819,74.0043753078969,HGDP00082,M,Balochi,Pakistan,Pakistan,Central/South Asia,5842.077841,30.5,66.5
HGDP00103,47.8949374418316,10.6021955288811,HGDP00103,M,Hazara,Pakistan,Pakistan,Central/South Asia,6132.580278,33.5,70
HGDP00938,-183.619920320632,-174.671040312901,HGDP00938,F,Yoruba,Nigeria,Central Africa,Africa,3629.688739,8,5
HGDP01411,-171.286169568843,-155.897351059872,HGDP01411,M,Bantu,Kenya,Central Africa,Africa,2730.422,-3,37
HGDP01264,-87.3126964579996,44.1056963457234,HGDP01264,M,Mozabite,Algeria (Mzab),Northern Africa,Middle East,4418.170045,32,3
HGDP01276,-94.0920069808673,35.5442550062344,HGDP01276,F,Mozabite,Algeria (Mzab),Northern Africa,Middle East,4418.170045,32,3
HGDP00612,-73.20202574268,85.1811672233023,HGDP00612,F,Bedouin,Israel (Negev),Israel,Middle East,2844.946131,31,35
HGDP00624,-76.7446980549189,79.5714728758506,HGDP00624,M,Bedouin,Israel (Negev),Israel,Middle East,2844.946131,31,35
HGDP00635,-69.7481679543284,66.5230679698115,HGDP00635,F,Bedouin,Israel (Negev),Israel,Middle East,2844.946131,31,35
HGDP00646,-86.4185484005091,52.44834444969,HGDP00646,F,Bedouin,Israel (Negev),Israel,Middle East,2844.946131,31,35
HGDP00558,-61.5658550947382,96.852228834246,HGDP00558,F,Druze,Israel (Carmel),Israel,Middle East,2887.253661,32,35
HGDP00570,-62.0554583906292,92.1533280451519,HGDP00570,F,Druze,Israel (Carmel),Israel,Middle East,2887.253661,32,35
HGDP00582,-60.0520604183108,91.8224908064803,HGDP00582,F,Druze,Israel (Carmel),Israel,Middle East,2887.253661,32,35
HGDP00595,-59.3841886791648,95.1491494808595,HGDP00595,M,Druze,Israel (Carmel),Israel,Middle East,2887.253661,32,35
HGDP00676,-64.2398673607816,81.1940157934053,HGDP00676,M,Palestinian,Israel (Central),Israel,Middle East,2887.253661,32,35
HGDP00688,-64.9206482218665,79.3808652902443,HGDP00688,F,Palestinian,Israel (Central),Israel,Middle East,2887.253661,32,35
HGDP00698,-67.6718799459659,75.7001448010322,HGDP00698,F,Palestinian,Israel (Central),Israel,Middle East,2887.253661,32,35
