"","V1","V2","ID","Gender","Population","Geographic.origin","Geographic.area","region","distance","latitude","longtitude"
"HGDP00448",-271.5310349632,-1615.0693470783,"HGDP00448","M","Biaka Pygmies","Central African Republic","Central Africa","Africa",2384.859098,4,17
"HGDP00479",-295.847801355193,-317.842188972568,"HGDP00479","M","Biaka Pygmies","Central African Republic","Central Africa","Africa",2384.859098,4,17
"HGDP00985",-240.554900706639,-210.731831471063,"HGDP00985","M","Biaka Pygmies","Central African Republic","Central Africa","Africa",2384.859098,4,17
"HGDP01094",-545.844823658362,-382.380585852784,"HGDP01094","M","Biaka Pygmies","Central African Republic","Central Africa","Africa",2384.859098,4,17
"HGDP00982",-132.753539988856,-705.620553113293,"HGDP00982","M","Mbuti Pygmies","Democratic Republic of Congo","Central Africa","Africa",1335.495772,1,29
"HGDP00911",-239.922225005413,-323.195449856023,"HGDP00911","M","Mandenka","Senegal","Central Africa","Africa",5469.912857,12,-12
"HGDP01202",-247.91995416317,-181.056926691849,"HGDP01202","M","Mandenka","Senegal","Central Africa","Africa",5469.912857,12,-12
"HGDP00927",-250.64867483163,-317.779456089733,"HGDP00927","M","Yoruba","Nigeria","Central Africa","Africa",3629.688739,8,5
"HGDP00461",-171.323786111167,-642.305466854542,"HGDP00461","M","Biaka Pygmies","Central African Republic","Central Africa","Africa",2384.859098,4,17
"HGDP00451",-333.201954243421,-473.302310953505,"HGDP00451","M","Biaka Pygmies","Central African Republic","Central Africa","Africa",2384.859098,4,17
"HGDP00986",-287.015045938056,-505.953637831228,"HGDP00986","M","Biaka Pygmies","Central African Republic","Central Africa","Africa",2384.859098,4,17
"HGDP00449",-419.476284556751,-358.215016166133,"HGDP00449","M","Mbuti Pygmies","Democratic Republic of Congo","Central Africa","Africa",1335.495772,1,29
"HGDP00983",-386.207986862041,-380.324241486442,"HGDP00983","M","Mbuti Pygmies","Democratic Republic of Congo","Central Africa","Africa",1335.495772,1,29
"HGDP00912",-249.513092663183,-215.174386076258,"HGDP00912","M","Mandenka","Senegal","Central Africa","Africa",5469.912857,12,-12
"HGDP01283",-247.037280876368,-214.580134909454,"HGDP01283","M","Mandenka","Senegal","Central Africa","Africa",5469.912857,12,-12
"HGDP00928",-233.237367198177,-410.26349197176,"HGDP00928","F","Yoruba","Nigeria","Central Africa","Africa",3629.688739,8,5
"HGDP00937",-437.62332322907,-236.758271027035,"HGDP00937","M","Yoruba","Nigeria","Central Africa","Africa",3629.688739,8,5
"HGDP01408",-196.37498834992,-623.204877348333,"HGDP01408","M","Bantu","Kenya","Central Africa","Africa",2730.422,-3,37
"HGDP00991",-378.479355775769,-389.047778129114,"HGDP00991","M","San ","Namidia","Central Africa","Africa",3872.417228,-21,20
"HGDP01031",-226.986871933545,-432.887800918189,"HGDP01031","M","Bantu","South Africa","South Africa","Africa",2730.422,-3,37
"HGDP01263",-393.231100344193,71.3574880401858,"HGDP01263","M","Mozabite","Algeria (Mzab)","Northern Africa","Middle East",4418.170045,32,3
"HGDP01275",-376.025440461429,52.4367342214637,"HGDP01275","F","Mozabite","Algeria (Mzab)","Northern Africa","Middle East",4418.170045,32,3
"HGDP00611",-492.285281041695,68.5570221697082,"HGDP00611","M","Bedouin","Israel (Negev)","Israel","Middle East",2844.946131,31,35
"HGDP00623",-417.441259362105,141.655511417478,"HGDP00623","M","Bedouin","Israel (Negev)","Israel","Middle East",2844.946131,31,35
"HGDP00634",-362.818323352488,86.7109111124278,"HGDP00634","F","Bedouin","Israel (Negev)","Israel","Middle East",2844.946131,31,35
"HGDP00645",-746.014018223116,65.8741000809393,"HGDP00645","M","Bedouin","Israel (Negev)","Israel","Middle East",2844.946131,31,35
"HGDP00557",-167.083262636354,155.365653288669,"HGDP00557","F","Druze","Israel (Carmel)","Israel","Middle East",2887.253661,32,35
"HGDP00569",-251.033095473472,152.316581436705,"HGDP00569","F","Druze","Israel (Carmel)","Israel","Middle East",2887.253661,32,35
"HGDP00581",-100.510783336645,145.425808909061,"HGDP00581","F","Druze","Israel (Carmel)","Israel","Middle East",2887.253661,32,35
"HGDP00594",-102.202214921107,141.39428368318,"HGDP00594","M","Druze","Israel (Carmel)","Israel","Middle East",2887.253661,32,35
"HGDP00675",-122.773913693131,114.822625893327,"HGDP00675","M","Palestinian","Israel (Central)","Israel","Middle East",2887.253661,32,35
"HGDP00687",-163.480165786256,128.965897483014,"HGDP00687","F","Palestinian","Israel (Central)","Israel","Middle East",2887.253661,32,35
"HGDP00697",-154.307308724244,126.368110820667,"HGDP00697","F","Palestinian","Israel (Central)","Israel","Middle East",2887.253661,32,35
"HGDP00729",-131.351729493262,100.288932459621,"HGDP00729","M","Palestinian","Israel (Central)","Israel","Middle East",2887.253661,32,35
"HGDP00741",-119.51135347655,101.420382190398,"HGDP00741","F","Palestinian","Israel (Central)","Israel","Middle East",2887.253661,32,35
"HGDP00011",-56.0142916999924,101.324289218766,"HGDP00011","M","Brahui","Pakistan","Pakistan","Central/South Asia",5842.077841,30.5,66.5
"HGDP00035",-65.2591460212344,80.844594789563,"HGDP00035","M","Brahui","Pakistan","Pakistan","Central/South Asia",5842.077841,30.5,66.5
"HGDP00058",-46.7871545664988,99.1958291569986,"HGDP00058","M","Balochi","Pakistan","Pakistan","Central/South Asia",5842.077841,30.5,66.5
"HGDP00082",-44.9696494620091,110.078062037548,"HGDP00082","M","Balochi","Pakistan","Pakistan","Central/South Asia",5842.077841,30.5,66.5
"HGDP00103",96.5175482938536,38.8362151248787,"HGDP00103","M","Hazara","Pakistan","Pakistan","Central/South Asia",6132.580278,33.5,70
"HGDP00938",-246.449468358993,-219.530642276056,"HGDP00938","F","Yoruba","Nigeria","Central Africa","Africa",3629.688739,8,5
"HGDP01411",-244.809059550348,-287.131530639577,"HGDP01411","M","Bantu","Kenya","Central Africa","Africa",2730.422,-3,37
"HGDP01264",-465.826900218279,61.9156355170146,"HGDP01264","M","Mozabite","Algeria (Mzab)","Northern Africa","Middle East",4418.170045,32,3
"HGDP01276",-446.177109058965,19.1025587996505,"HGDP01276","F","Mozabite","Algeria (Mzab)","Northern Africa","Middle East",4418.170045,32,3
"HGDP00612",-414.970998935606,141.58726188008,"HGDP00612","F","Bedouin","Israel (Negev)","Israel","Middle East",2844.946131,31,35
"HGDP00624",-394.424602203492,147.851238501274,"HGDP00624","M","Bedouin","Israel (Negev)","Israel","Middle East",2844.946131,31,35
"HGDP00635",-322.286033997489,83.6166547482385,"HGDP00635","F","Bedouin","Israel (Negev)","Israel","Middle East",2844.946131,31,35
"HGDP00646",-399.791537163949,74.7191497746254,"HGDP00646","F","Bedouin","Israel (Negev)","Israel","Middle East",2844.946131,31,35
"HGDP00558",-124.127940322111,154.092308142231,"HGDP00558","F","Druze","Israel (Carmel)","Israel","Middle East",2887.253661,32,35
"HGDP00570",-129.92168360126,138.136576925669,"HGDP00570","F","Druze","Israel (Carmel)","Israel","Middle East",2887.253661,32,35
"HGDP00582",-107.043782825005,135.921407487916,"HGDP00582","F","Druze","Israel (Carmel)","Israel","Middle East",2887.253661,32,35
"HGDP00595",-99.691760268734,138.258745893462,"HGDP00595","M","Druze","Israel (Carmel)","Israel","Middle East",2887.253661,32,35
"HGDP00676",-108.482717888917,111.388275288646,"HGDP00676","M","Palestinian","Israel (Central)","Israel","Middle East",2887.253661,32,35
"HGDP00688",-112.824106955082,104.037362898929,"HGDP00688","F","Palestinian","Israel (Central)","Israel","Middle East",2887.253661,32,35
"HGDP00698",-139.364484772385,99.9575321572094,"HGDP00698","F","Palestinian","Israel (Central)","Israel","Middle East",2887.253661,32,35
"HGDP00730",-115.461781099026,117.573796684418,"HGDP00730","M","Palestinian","Israel (Central)","Israel","Middle East",2887.253661,32,35
