,V1,V2,ID,Gender,Population,Geographic.origin,Geographic.area,region,distance,latitude,longtitude
1,-12.9025604627375,-37.3706693908125,HGDP00448,M,Biaka Pygmies,Central African Republic,Central Africa,Africa,2384.859098,4,17
2,-12.6453265381424,-37.9077585075858,HGDP00479,M,Biaka Pygmies,Central African Republic,Central Africa,Africa,2384.859098,4,17
3,-12.8262678802077,-37.9033696794928,HGDP00985,M,Biaka Pygmies,Central African Republic,Central Africa,Africa,2384.859098,4,17
4,-12.4470437035229,-37.8516032411782,HGDP01094,M,Biaka Pygmies,Central African Republic,Central Africa,Africa,2384.859098,4,17
5,-6.79767395516774,-40.9151248413494,HGDP00982,M,Mbuti Pygmies,Democratic Republic of Congo,Central Africa,Africa,1335.495772,1,29
6,-9.79257333453294,-28.6172811889871,HGDP00911,M,Mandenka,Senegal,Central Africa,Africa,5469.912857,12,-12
7,-9.8571784887284,-28.5156729435645,HGDP01202,M,Mandenka,Senegal,Central Africa,Africa,5469.912857,12,-12
8,-7.25455431444306,-32.5445798757071,HGDP00927,M,Yoruba,Nigeria,Central Africa,Africa,3629.688739,8,5
9,-12.9592817403736,-37.5975074111481,HGDP00461,M,Biaka Pygmies,Central African Republic,Central Africa,Africa,2384.859098,4,17
10,-13.9967994785671,-37.39932495169,HGDP00451,M,Biaka Pygmies,Central African Republic,Central Africa,Africa,2384.859098,4,17
11,-12.4144666997233,-37.7343677729041,HGDP00986,M,Biaka Pygmies,Central African Republic,Central Africa,Africa,2384.859098,4,17
12,-6.91453191095122,-40.8216591742008,HGDP00449,M,Mbuti Pygmies,Democratic Republic of Congo,Central Africa,Africa,1335.495772,1,29
13,-6.78203354129283,-40.9193846560618,HGDP00983,M,Mbuti Pygmies,Democratic Republic of Congo,Central Africa,Africa,1335.495772,1,29
14,-9.43171644539382,-28.170269216576,HGDP00912,M,Mandenka,Senegal,Central Africa,Africa,5469.912857,12,-12
15,-9.99247979335248,-28.12312019398,HGDP01283,M,Mandenka,Senegal,Central Africa,Africa,5469.912857,12,-12
16,-7.17838847913296,-32.8366002379638,HGDP00928,F,Yoruba,Nigeria,Central Africa,Africa,3629.688739,8,5
17,-6.76805546499769,-32.8795527896745,HGDP00937,M,Yoruba,Nigeria,Central Africa,Africa,3629.688739,8,5
18,-6.02051265002335,-33.7838357849991,HGDP01408,M,Bantu,Kenya,Central Africa,Africa,2730.422,-3,37
19,-11.2643161261236,-33.8369755285368,HGDP00991,M,San ,Namidia,Central Africa,Africa,3872.417228,-21,20
20,-6.6040615123846,-33.572404217374,HGDP01031,M,Bantu,South Africa,South Africa,Africa,2730.422,-3,37
21,-18.3407874728141,-16.563210130935,HGDP01263,M,Mozabite,Algeria (Mzab),Northern Africa,Middle East,4418.170045,32,3
22,-19.0974062102995,-16.4602511966765,HGDP01275,F,Mozabite,Algeria (Mzab),Northern Africa,Middle East,4418.170045,32,3
23,-5.4401602410675,-10.7435668725151,HGDP00611,M,Bedouin,Israel (Negev),Israel,Middle East,2844.946131,31,35
24,-5.85294164115701,-15.7985017475543,HGDP00623,M,Bedouin,Israel (Negev),Israel,Middle East,2844.946131,31,35
25,-5.60869912516655,-10.7395298016556,HGDP00634,F,Bedouin,Israel (Negev),Israel,Middle East,2844.946131,31,35
26,-5.94110076166364,-10.3756312341742,HGDP00645,M,Bedouin,Israel (Negev),Israel,Middle East,2844.946131,31,35
27,-9.07716585152012,-5.83239889410788,HGDP00557,F,Druze,Israel (Carmel),Israel,Middle East,2887.253661,32,35
28,-9.13306042151873,-3.29246760670888,HGDP00569,F,Druze,Israel (Carmel),Israel,Middle East,2887.253661,32,35
29,-11.6469364945882,-7.18745262959801,HGDP00581,F,Druze,Israel (Carmel),Israel,Middle East,2887.253661,32,35
30,-8.86918874774557,-5.6017073226696,HGDP00594,M,Druze,Israel (Carmel),Israel,Middle East,2887.253661,32,35
31,-0.420713655433858,-9.91128359975632,HGDP00675,M,Palestinian,Israel (Central),Israel,Middle East,2887.253661,32,35
32,-3.15439091670773,-8.17546314844527,HGDP00687,F,Palestinian,Israel (Central),Israel,Middle East,2887.253661,32,35
33,-0.271904799206531,-9.76076243738352,HGDP00697,F,Palestinian,Israel (Central),Israel,Middle East,2887.253661,32,35
34,-2.04814355111655,-10.0908544247123,HGDP00729,M,Palestinian,Israel (Central),Israel,Middle East,2887.253661,32,35
35,-5.56263036726908,-9.18888905772021,HGDP00741,F,Palestinian,Israel (Central),Israel,Middle East,2887.253661,32,35
36,13.3651883890832,-18.3177086501142,HGDP00011,M,Brahui,Pakistan,Pakistan,Central/South Asia,5842.077841,30.5,66.5
37,13.507861722482,-17.5477991135338,HGDP00035,M,Brahui,Pakistan,Pakistan,Central/South Asia,5842.077841,30.5,66.5
38,14.2921409523088,-14.6121905919116,HGDP00058,M,Balochi,Pakistan,Pakistan,Central/South Asia,5842.077841,30.5,66.5
39,11.6719975398025,-10.8848094484122,HGDP00082,M,Balochi,Pakistan,Pakistan,Central/South Asia,5842.077841,30.5,66.5
40,12.9718323217956,2.33060826412927,HGDP00103,M,Hazara,Pakistan,Pakistan,Central/South Asia,6132.580278,33.5,70
41,-6.92969334025666,-32.3190272784089,HGDP00938,F,Yoruba,Nigeria,Central Africa,Africa,3629.688739,8,5
42,-4.06571956349095,-31.6360006812818,HGDP01411,M,Bantu,Kenya,Central Africa,Africa,2730.422,-3,37
43,-19.22210606719,-16.2329032497826,HGDP01264,M,Mozabite,Algeria (Mzab),Northern Africa,Middle East,4418.170045,32,3
44,-19.1966515278336,-16.994486428869,HGDP01276,F,Mozabite,Algeria (Mzab),Northern Africa,Middle East,4418.170045,32,3
45,-5.76410691602057,-16.3913815583125,HGDP00612,F,Bedouin,Israel (Negev),Israel,Middle East,2844.946131,31,35
46,-5.82486965927245,-15.6633845484338,HGDP00624,M,Bedouin,Israel (Negev),Israel,Middle East,2844.946131,31,35
47,-8.11223246747876,-11.311344637383,HGDP00635,F,Bedouin,Israel (Negev),Israel,Middle East,2844.946131,31,35
48,-4.73181134326799,-11.0425062179074,HGDP00646,F,Bedouin,Israel (Negev),Israel,Middle East,2844.946131,31,35
49,-11.2670562746637,-6.95624071997374,HGDP00558,F,Druze,Israel (Carmel),Israel,Middle East,2887.253661,32,35
50,-10.770478357471,-6.37640634490299,HGDP00570,F,Druze,Israel (Carmel),Israel,Middle East,2887.253661,32,35
51,-8.52953348319565,-7.1555548303485,HGDP00582,F,Druze,Israel (Carmel),Israel,Middle East,2887.253661,32,35
52,-10.121593484033,-6.63855428598787,HGDP00595,M,Druze,Israel (Carmel),Israel,Middle East,2887.253661,32,35
53,-3.25150254219568,-8.6718903197282,HGDP00676,M,Palestinian,Israel (Central),Israel,Middle East,2887.253661,32,35
54,-2.92343778484322,-9.7356366735273,HGDP00688,F,Palestinian,Israel (Central),Israel,Middle East,2887.253661,32,35
55,-5.47893715232854,-9.21823538369188,HGDP00698,F,Palestinian,Israel (Central),Israel,Middle East,2887.253661,32,35
56,-1.93646783068862,-9.60487841114335,HGDP00730,M,Palestinian,Israel (Central),Israel,Middle East,2887.253661,32,35
57,-2.69014385449855,-6.99888166080738,HGDP00742,F,Palestinian,Israel (Central),Israel,Middle East,2887.253661,32,35
58,11.549033331605,-13.6924954683406,HGDP00013,M,Brahui,Pakistan,Pakistan,Central/South Asia,5842.077841,30.5,66.5
59,14.4238922728526,-18.0918018825991,HGDP00037,M,Brahui,Pakistan,Pakistan,Central/South Asia,5842.077841,30.5,66.5
60,12.1323027538838,-14.3201288694784,HGDP00060,M,Balochi,Pakistan,Pakistan,Central/South Asia,5842.077841,30.5,66.5
61,11.6723663875705,-10.8855671472839,HGDP00084,M,Balochi,Pakistan,Pakistan,Central/South Asia,5842.077841,30.5,66.5
62,14.079562334387,1.65848377105614,HGDP00104,M,Hazara,Pakistan,Pakistan,Central/South Asia,6132.580278,33.5,70
63,-13.9294486388786,-37.4062909391689,HGDP00464,M,Biaka Pygmies,Central African Republic,Central Africa,Africa,2384.859098,4,17
64,-9.73523722111021,-36.9779008734153,HGDP01084,F,Biaka Pygmies,Central African Republic,Central Africa,Africa,2384.859098,4,17
65,-6.91395012863974,-40.8244191891882,HGDP00450,M,Mbuti Pygmies,Democratic Republic of Congo,Central Africa,Africa,1335.495772,1,29
66,-6.75241944510816,-40.8677809652331,HGDP00984,M,Mbuti Pygmies,Democratic Republic of Congo,Central Africa,Africa,1335.495772,1,29
67,-10.3869996330223,-27.5938955124626,HGDP00913,M,Mandenka,Senegal,Central Africa,Africa,5469.912857,12,-12
68,-9.39189753773281,-28.6320518909752,HGDP01284,M,Mandenka,Senegal,Central Africa,Africa,5469.912857,12,-12
