year,sworn,civil,murder,rape,robbery,assault,burglary,larceny,auto,citypop,term2,term4,a0_5,a5_9,a10_14,a15_19,citybla,cityfemh,price,total_crime,murder_level,rape_level,robbery_level,assault_level,burglary_level,larceny_level,auto_level,total_crime_level
1970,370.0,124.0,19809.0,95.0,433.0,893.0,5235.0,11302.0,1832.0,245000.0,0.0,1.0,0.09088623523712158,0.1118358969688416,0.1157247424125671,0.1014865040779114,2.19999885559082,12.29999542236328,0.3879997730255127,19809.0,0,0,0,0,0,0,0,0
1971,377.0,197.0,23710.0,103.0,667.0,988.0,6232.0,13701.0,1988.0,254666.625,0.0,1.0,0.0891680121421814,0.1069518327713013,0.1112245321273804,0.1011170744895935,2.229999542236328,12.18999481201172,0.4049999713897705,23710.0,0,0,0,0,0,1,0,0
1972,389.0,155.0,23474.0,154.0,857.0,1159.0,7023.0,12553.0,1705.0,251200.0,0.0,1.0,0.08755320310592651,0.1023615002632141,0.1069950461387634,0.1007698774337769,2.259998321533203,12.07999420166016,0.4179999828338623,23474.0,0,0,0,0,0,0,0,0
1973,447.0,137.0,22680.0,169.0,909.0,1157.0,6942.0,11852.0,1623.0,262404.0,0.0,1.0,0.08603262901306152,0.09803932905197144,0.1030125021934509,0.1004429459571838,2.289999008178711,11.96999359130859,0.4439997673034668,22680.0,0,0,0,0,0,0,0,0
1974,486.0,161.0,22694.0,183.0,803.0,877.0,6547.0,12781.0,1472.0,278100.0,0.0,1.0,0.0845983624458313,0.09396231174468994,0.09925597906112671,0.100134551525116,2.319999694824219,11.85999298095703,0.492999792098999,22694.0,0,0,0,0,0,0,0,0
1975,509.0,159.0,25313.0,181.0,819.0,1353.0,7792.0,13720.0,1418.0,286238.0,0.0,1.0,0.08324319124221802,0.09011030197143555,0.09570670127868652,0.09984314441680908,2.349998474121094,11.75,0.5379996299743652,25313.0,0,0,0,1,1,1,0,0
1976,496.0,184.0,28426.0,186.0,871.0,1335.0,7790.0,16725.0,1491.0,292265.0,0.0,1.0,0.08196079730987549,0.08646506071090698,0.09234797954559326,0.09956741333007812,2.379999160766602,11.63999938964844,0.5689997673034668,28426.0,0,0,0,1,1,1,0,0
1977,491.0,214.0,23955.0,207.0,754.0,1398.0,6568.0,13833.0,1164.0,292341.0,0.0,1.0,0.08074545860290527,0.08301049470901489,0.08916491270065308,0.09930610656738281,2.409999847412109,11.52999877929688,0.6059999465942383,23955.0,0,1,0,1,0,1,0,0
1978,465.0,188.0,22866.0,187.0,694.0,1516.0,6191.0,12910.0,1331.0,291834.0,0.0,1.0,0.07959204912185669,0.07973188161849976,0.08614403009414673,0.09905815124511719,2.439998626708984,11.41999816894531,0.6519999504089355,22866.0,0,0,0,1,0,0,0,0
1979,472.0,250.0,27341.0,215.0,815.0,1602.0,7298.0,15613.0,1751.0,302120.0,0.0,1.0,0.07849597930908203,0.07661622762680054,0.08327323198318481,0.09882247447967529,2.469999313354492,11.30999755859375,0.7259998321533203,27341.0,0,1,0,1,0,1,0,0
1980,499.0,306.0,29326.0,225.0,993.0,1740.0,8081.0,16808.0,1429.0,328837.0,0.0,1.0,0.07745307683944702,0.07365167140960693,0.08054167032241821,0.09859824180603027,2.5,11.19999694824219,0.8239998817443848,29326.0,1,1,0,1,1,1,0,1
1981,557.0,241.0,30614.0,213.0,1107.0,1620.0,9074.0,16984.0,1571.0,336840.0,0.0,1.0,0.07760196924209595,0.07397240400314331,0.07914745807647705,0.09509402513504028,2.549999237060547,11.28999328613281,0.9089999198913574,30614.0,1,1,0,1,1,1,0,1
1982,564.0,289.0,29214.0,199.0,926.0,1508.0,7980.0,17214.0,1361.0,344962.0,0.0,1.0,0.07774662971496582,0.07428401708602905,0.07779276371002197,0.09168928861618042,2.599998474121094,11.37999725341797,0.9649996757507324,29214.0,1,1,0,1,1,1,0,1
1983,592.0,299.0,29250.0,206.0,909.0,1815.0,7733.0,17087.0,1476.0,355163.0,0.0,1.0,0.07788723707199097,0.07458692789077759,0.07647603750228882,0.08837991952896118,2.649999618530273,11.46999359130859,0.995999813079834,29250.0,1,1,0,1,1,1,0,1
1984,620.0,308.0,31408.0,210.0,1215.0,2162.0,8686.0,17485.0,1622.0,356366.0,0.0,1.0,0.07802397012710571,0.07488143444061279,0.07519572973251343,0.08516192436218262,2.69999885559082,11.55999755859375,1.038999557495117,31408.0,1,1,1,2,1,1,0,1
1985,644.0,462.0,33158.0,238.0,1247.0,2578.0,9186.0,17935.0,1932.0,357051.0,0.0,1.0,0.07815694808959961,0.0751679539680481,0.07395023107528687,0.08203160762786865,2.75,11.64999389648438,1.07599925994873,33158.0,1,1,1,2,1,1,0,1
1986,683.0,371.0,35516.0,247.0,1248.0,2748.0,9746.0,19490.0,1988.0,364196.0,0.0,1.0,0.07828640937805176,0.07544678449630737,0.07273823022842407,0.07898539304733276,2.799999237060547,11.73999786376953,1.095999717712402,35516.0,1,1,1,2,1,1,0,1
1987,710.0,367.0,37008.0,211.0,987.0,2599.0,9965.0,20913.0,2285.0,371756.0,0.0,1.0,0.07841241359710693,0.0757182240486145,0.07155835628509521,0.07601994276046753,2.849998474121094,11.82999420166016,1.13599967956543,37008.0,1,1,0,2,1,2,0,1
1988,729.0,371.0,38972.0,190.0,928.0,3108.0,11042.0,20950.0,2705.0,378176.0,0.0,1.0,0.07853513956069946,0.07598251104354858,0.07040929794311523,0.07313209772109985,2.899999618530273,11.91999816894531,1.182999610900879,38972.0,1,0,0,2,2,2,1,1
1989,760.0,389.0,38344.0,178.0,1032.0,3445.0,9672.0,21670.0,2306.0,384801.0,0.0,1.0,0.07865464687347412,0.07624000310897827,0.06928998231887817,0.07031887769699097,2.94999885559082,12.00999450683594,1.239999771118164,38344.0,1,0,0,2,1,2,0,1
1990,793.0,390.0,38721.0,222.0,1030.0,3835.0,9497.0,22130.0,1973.0,384736.0,0.0,1.0,0.07877111434936523,0.07649093866348267,0.06819921731948853,0.06757736206054688,3.0,12.09999847412109,1.306999206542969,38721.0,1,1,0,3,1,2,0,1
1970,950.0,159.0,40092.0,202.0,2126.0,1304.0,11529.0,19965.0,4724.0,495000.0,0.0,1.0,0.09313696622848511,0.1025625467300415,0.1026803851127625,0.0903092622756958,51.5,21.29998779296875,0.3880000114440918,40092.0,1,1,2,1,2,1,2,1
1971,1166.0,171.0,40701.0,268.0,2207.0,1935.0,13726.0,18301.0,4034.0,480333.25,0.0,1.0,0.09058362245559692,0.09978652000427246,0.1005783081054688,0.0903024673461914,53.00997924804688,21.36000061035156,0.4049999713897705,40701.0,2,1,2,1,2,1,1,2
1972,1243.0,222.0,42359.0,256.0,3074.0,2143.0,14676.0,17805.0,4150.0,497600.0,0.0,1.0,0.08815991878509521,0.09715151786804199,0.09858304262161255,0.09029603004455566,54.51998901367188,21.41999816894531,0.4179999828338623,42359.0,2,1,2,2,2,1,2,2
1973,1458.0,199.0,45058.0,468.0,4140.0,2650.0,15901.0,16739.0,4897.0,499000.0,0.0,1.0,0.0858563780784607,0.09464704990386963,0.09668654203414917,0.0902898907661438,56.02999877929688,21.47999572753906,0.4439997673034668,45058.0,2,2,2,2,3,1,2,2
1974,1586.0,308.0,48650.0,440.0,4357.0,3369.0,16802.0,19320.0,4114.0,490767.0,0.0,1.0,0.08366411924362183,0.09226363897323608,0.09488177299499512,0.09028404951095581,57.53997802734375,21.53999328613281,0.492999792098999,48650.0,2,2,3,2,3,1,2,2
1975,1415.0,453.0,48884.0,443.0,3887.0,3518.0,14501.0,22612.0,3738.0,490584.0,0.0,1.0,0.08157539367675781,0.0899927020072937,0.0931621789932251,0.09027844667434692,59.04998779296875,21.59999084472656,0.5379996299743652,48884.0,2,2,2,2,2,2,1,2
1976,1251.0,335.0,49507.0,477.0,3380.0,3518.0,12455.0,26075.0,3448.0,457300.0,0.0,1.0,0.07958292961120605,0.08782649040222168,0.09152185916900635,0.09027314186096191,60.55999755859375,21.65998840332031,0.5689997673034668,49507.0,2,2,2,2,2,2,1,2
1977,1225.0,328.0,45597.0,510.0,3354.0,3593.0,12295.0,22549.0,3158.0,440300.0,0.0,1.0,0.07768028974533081,0.08575791120529175,0.08995550870895386,0.090268075466156,62.06997680664062,21.71998596191406,0.6059999465942383,45597.0,2,3,2,2,2,2,1,2
1978,1118.0,261.0,53870.0,592.0,4119.0,3990.0,15185.0,25874.0,3966.0,456000.0,0.0,1.0,0.07586151361465454,0.08378052711486816,0.08845818042755127,0.0902632474899292,63.57998657226562,21.77999877929688,0.6519999504089355,53870.0,2,3,2,3,2,2,1,2
1979,1116.0,331.0,58724.0,656.0,5189.0,4639.0,16111.0,27424.0,4474.0,423103.0,0.0,1.0,0.07412117719650269,0.08188843727111816,0.0870254635810852,0.09025859832763672,65.0899658203125,21.83999633789062,0.7259998321533203,58724.0,2,3,3,3,3,2,2,2
1980,1223.0,337.0,59394.0,671.0,4733.0,5470.0,16812.0,27502.0,4005.0,422474.0,0.0,1.0,0.07245433330535889,0.08007621765136719,0.08565318584442139,0.09025418758392334,66.5999755859375,21.89999389648438,0.8239998817443848,59394.0,2,3,3,3,3,2,1,2
1981,1294.0,352.0,60569.0,644.0,4507.0,5246.0,17458.0,28966.0,3566.0,435626.0,0.0,1.0,0.07329684495925903,0.07910782098770142,0.08335244655609131,0.0878063440322876,66.64996337890625,22.04998779296875,0.9089999198913574,60569.0,2,3,3,3,3,2,1,2
1982,1340.0,283.0,56964.0,613.0,3999.0,5722.0,15134.0,27818.0,3526.0,441103.0,0.0,1.0,0.07408791780471802,0.07819861173629761,0.08119213581085205,0.08550792932510376,66.699951171875,22.19999694824219,0.9649996757507324,56964.0,2,3,2,3,2,2,1,2
1983,1315.0,288.0,48413.0,619.0,3552.0,5014.0,12501.0,23566.0,3020.0,448635.0,0.0,1.0,0.07483220100402832,0.07734322547912598,0.07915985584259033,0.08334565162658691,66.75,22.34999084472656,0.995999813079834,48413.0,2,3,2,3,2,2,1,2
1984,1276.0,287.0,48632.0,632.0,4029.0,5729.0,10813.0,24110.0,3184.0,442951.0,0.0,1.0,0.07553356885910034,0.07653707265853882,0.07724446058273315,0.08130782842636108,66.79998779296875,22.5,1.038999557495117,48632.0,2,3,2,3,1,2,1,2
1985,1278.0,289.0,57505.0,683.0,4792.0,5990.0,12192.0,29372.0,4331.0,436214.0,0.0,1.0,0.07619577646255493,0.07577604055404663,0.07543623447418213,0.07938390970230103,66.8499755859375,22.64999389648438,1.07599925994873,57505.0,2,3,3,3,2,2,2,2
1986,1326.0,305.0,63068.0,681.0,5428.0,6867.0,13454.0,30380.0,6072.0,445617.0,0.0,1.0,0.07682192325592041,0.07505637407302856,0.0737263560295105,0.07756471633911133,66.89996337890625,22.79998779296875,1.095999717712402,63068.0,3,3,3,3,2,3,2,3
1987,1346.0,304.0,66891.0,636.0,5100.0,6950.0,14927.0,31559.0,7512.0,429953.0,0.0,1.0,0.07741492986679077,0.07437479496002197,0.07210701704025269,0.07584184408187866,66.949951171875,22.94999694824219,1.13599967956543,66891.0,3,3,3,3,2,3,3,3
1988,1395.0,309.0,78087.0,721.0,5972.0,9001.0,15556.0,37306.0,9314.0,444995.0,0.0,1.0,0.07797729969024658,0.07372844219207764,0.07057130336761475,0.07420790195465088,67.0,23.09999084472656,1.182999610900879,78087.0,3,3,3,3,2,3,3,3
1989,1518.0,331.0,88241.0,691.0,6796.0,9119.0,17202.0,42660.0,11527.0,426482.0,0.0,1.0,0.07851141691207886,0.07311457395553589,0.06911277770996094,0.07265615463256836,67.04998779296875,23.25,1.239999771118164,88241.0,3,3,3,3,3,3,3,3
1990,1569.0,364.0,75793.0,695.0,6109.0,9062.0,15519.0,33020.0,11157.0,394017.0,0.0,1.0,0.07901930809020996,0.07253086566925049,0.06772583723068237,0.07118052244186401,67.0999755859375,23.39999389648438,1.306999206542969,75793.0,3,3,3,3,2,3,3,3
1970,326.0,103.0,15266.0,76.0,215.0,931.0,3515.0,9424.0,1083.0,254000.0,0.0,0.0,0.08374518156051636,0.08978581428527832,0.09198242425918579,0.1103788614273071,11.69999694824219,11.79999542236328,0.3880000114440918,15266.0,0,0,0,0,0,0,0,0
1971,314.0,100.0,17275.0,66.0,372.0,1119.0,4334.0,10304.0,1053.0,266333.25,0.0,0.0,0.08226388692855835,0.08721381425857544,0.08909952640533447,0.108980655670166,11.75,11.62999725341797,0.4049999713897705,17275.0,0,0,0,0,0,0,0,0
1972,453.0,149.0,15712.0,62.0,285.0,966.0,4046.0,9334.0,981.0,273933.0,0.0,0.0,0.080913245677948,0.08486878871917725,0.08647102117538452,0.1077057719230652,11.79999542236328,11.45999908447266,0.4179999828338623,15712.0,0,0,0,0,0,0,0,0
1973,446.0,145.0,16556.0,90.0,309.0,978.0,4462.0,9625.0,1066.0,287000.0,0.0,0.0,0.07967674732208252,0.08272188901901245,0.08406460285186768,0.1065385937690735,11.84999847412109,11.28999328613281,0.4440000057220459,16556.0,0,0,0,0,0,0,0,0
1974,462.0,176.0,19160.0,156.0,426.0,472.0,5542.0,11419.0,1110.0,287061.0,0.0,0.0,0.07854050397872925,0.0807490348815918,0.08185327053070068,0.1054660677909851,11.89999389648438,11.1199951171875,0.492999792098999,19160.0,0,0,0,0,0,0,0,0
1975,446.0,193.0,22171.0,190.0,529.0,463.0,6264.0,13445.0,1247.0,300400.0,0.0,0.0,0.07749277353286743,0.07892990112304688,0.07981425523757935,0.1044771075248718,11.94999694824219,10.94999694824219,0.5379996299743652,22171.0,0,0,0,0,0,0,0,0
1976,444.0,186.0,24098.0,181.0,518.0,479.0,6386.0,15260.0,1250.0,284908.0,0.0,0.0,0.07652366161346436,0.07724714279174805,0.07792812585830688,0.1035622954368591,12.0,10.77999877929688,0.5689997673034668,24098.0,0,0,0,0,0,1,0,0
1977,442.0,236.0,23536.0,187.0,512.0,528.0,7243.0,13796.0,1237.0,321900.0,0.0,0.0,0.07562452554702759,0.07568609714508057,0.07617831230163574,0.1027135848999023,12.04999542236328,10.60999298095703,0.6059999465942383,23536.0,0,0,0,0,0,1,0,0
1978,460.0,196.0,24719.0,194.0,635.0,549.0,6886.0,15079.0,1341.0,331557.0,0.0,0.0,0.0747881531715393,0.07423388957977295,0.07455062866210938,0.1019241213798523,12.09999847412109,10.43999481201172,0.6519999504089355,24719.0,0,0,0,0,0,1,0,0
1979,519.0,211.0,27237.0,216.0,577.0,659.0,7766.0,16390.0,1586.0,337727.0,0.0,0.0,0.07400816679000854,0.07287955284118652,0.07303261756896973,0.1011878252029419,12.14999389648438,10.26999664306641,0.7259998321533203,27237.0,0,1,0,0,1,1,0,0
