Rank,index of univ,University
1,17,University of Cambridge
2,72,University of Oxford
3,43,Imperial College London
4,99,University College London
5,61,University of Manchester
6,27,University of Edinburgh
7,12,University of Bristol
8,83,University of Sheffield
9,69,University of Nottingham
10,44,King's College London
11,9,University of Birmingham
12,31,University of Glasgow
13,52,University of Leeds
14,54,University of Liverpool
15,93,University of Sussex
16,19,Cardiff University
17,26,University of Durham
18,102,University of East Anglia
19,51,University of Leicester
20,65,"Newcastle University, Newcastle-upon-Tyne"
21,86,University of Southampton
22,87,University of St. Andrews
23,59,London School of Economics
24,77,"Queen Mary, University of London"
25,78,Queen's University Belfast
26,0,University of Aberdeen
27,6,University of Bath
28,25,University of Dundee
29,49,Lancaster University
30,79,University of Reading
31,107,University of Warwick
32,111,University of York
33,71,Open University
34,28,University of Essex
35,29,University of Exeter
36,81,"Royal Holloway, University of London"
37,14,Brunel University
38,50,Loughborough University
39,11,University of Bradford
40,92,University of Surrey
41,5,Bangor University
42,94,Swansea University
