College ID,College Score,College Name
1,92.0635,"Princeton University, USA"
2,90.8046,"Harvard University, USA"
3,90.1639,"Stanford University, USA"
4,90.1235,"University of California, Berkeley, USA"
5,88.2353,"Massachusetts Institute of Technology, USA"
6,88.1579,"University of California, Los Angeles, USA"
7,87.5,"Cornell University, USA"
8,86.9565,"Yale University, USA"
9,84.2857,"California Institute of Technology, USA"
10,83.75,"University of Oxford, UK"
11,83.5821,"University of Cambridge, UK"
12,83.1325,"Peking University, China"
13,83.0508,"University of Southern California, USA"
14,81.8182,"Columbia University, USA"
15,80.8824,"University of British Columbia, Canada"
16,80.597,"University of Wisconsin-Madison, USA"
17,78.8732,"University of Pennsylvania, USA"
18,78.6885,"University of Chicago, USA"
19,78.481,"New York University, USA"
20,78.2051,"Northwestern University, USA"
21,77.9221,"University of California, San Diego, USA"
22,77.6119,"Carnegie Mellon University, USA"
23,77.2727,"University of Michigan, USA"
24,77.1084,"Johns Hopkins University, USA"
25,76.9231,"Brown University, USA"
26,76.4706,"ETH Zürich – Swiss Federal Institute of Technology Zürich, Switzerland"
27,75.9036,"University of Washington, USA"
28,75.3247,"Georgia Institute of Technology, USA"
29,74.1176,"Imperial College London, UK"
30,73.494,"The University of Hong Kong, Hong Kong"
31,72.4638,"Tsinghua University, China"
32,72.4138,"Duke University, USA"
33,72.3077,"University of Toronto, Canada"
34,72.1311,"University of California, Santa Barbara, USA"
35,70.6667,"Purdue University, USA"
36,70.5128,"University of California, Santa Cruz, USA"
37,70.3704,"Boston College, USA"
38,70.0,"University of Texas at Austin, USA"
39,69.1176,"University of California, Irvine, USA"
40,69.1176,"University of Tokyo, Japan"
41,67.9012,"University of California, Davis, USA"
42,67.6056,"University of North Carolina at Chapel Hill, USA"
43,67.1875,"London School of Economics and Political Science, UK"
44,66.6667,"Hong Kong University of Science and Technology, Hong Kong"
45,66.25,"University of Maryland, College Park, USA"
46,66.1538,"Rice University, USA"
47,65.7895,"University of Illinois at Urbana Champaign, USA"
48,65.4545,"Stony Brook University, USA"
49,65.0,"McGill University, Canada"
50,64.7059,"University of Rochester, USA"
51,64.7059,"Pennsylvania State University, USA"
52,64.7059,"Kyoto University, Japan"
53,64.3836,"Boston University, USA"
54,64.0,"University of Pittsburgh, USA"
55,63.8889,"University of Sydney, Australia"
56,63.5135,"University College London, UK"
57,63.3333,"Washington University in St Louis, USA"
58,63.2353,"Nanyang Technological University, Singpapore"
59,62.8571,"National University of Singapore, Singapore"
60,62.5,"Fudan University, China"
61,62.5,"Dartmouth College, USA"
62,61.7647,"University of Victoria, Canada"
63,59.4203,"University of California, Riverside, USA"
64,59.4203,"University of Geneva, Switzerland"
65,59.375,"University of Manchester, UK"
66,59.322,"Technische Universität München, Germany"
67,59.2105,"Shanghai Jiaotong University, China"
68,59.0909,"Chinese University of Hong Kong, Hong Kong"
69,58.9744,"École Polytechnique Fédérale de Lausanne, Switzerland"
70,58.9041,University of Science and Technology of China
71,58.75,"University of Virginia, USA"
72,58.7302,"Emory University, USA"
73,58.0645,"University of Arizona, USA"
74,58.0247,"University of Florida, USA"
75,57.8947,"Georgetown University, USA"
76,57.8125,"Michigan State University, USA"
77,57.6471,Renmin University of China
78,57.5758,"Australian National University, Australia"
79,57.377,Hong Kong Polytechnic University
80,57.3529,"Tongji University, China"
81,57.3529,"University of Edinburgh, UK"
82,56.9444,"Universität Heidelberg, Germany"
83,56.4516,"Tufts University, USA"
84,56.338,"École Polytechnique, France"
85,56.25,"George Washington University, USA"
86,55.5556,"National Central University, Taiwan"
87,55.3846,"Rutgers, The State University of New Jersey, USA"
88,55.2239,"City University of Hong Kong, Hong Kong"
89,54.9296,"Nanjing University, China"
90,54.9296,"Tokyo Institute of Technology, Japan"
91,54.5455,"Rensselaer Polytechnic Institute, USA"
92,54.386,"National Taiwan University, Taiwan"
93,54.2857,"Université Paris-Sud, France"
94,54.0984,"University of Copenhagen, Denmark"
95,54.0541,"Nankai University, China"
96,54.0541,"Zhejiang University, China"
97,54.0541,"Ohio State University, USA"
98,53.8462,"Arizona State University, USA"
99,53.7313,"Vanderbilt University, USA"
100,53.3333,"University of Delaware, USA"
101,53.3333,"Stockholm University, Sweden"
102,53.3333,"King's College London, UK"
103,53.2468,"University of Zürich, Switzerland"
104,53.2258,"Birkbeck, University of London, UK"
105,53.2258,"Queen Mary, University of London, UK"
106,53.125,"University of Warwick, UK"
107,52.8571,"University of Massachusetts, USA"
108,52.3077,"University of York, UK"
109,52.2388,"University of Illinois at Chicago, USA"
110,52.1127,"University of Birmingham, UK"
111,51.6129,"Iowa State University, USA"
112,51.5152,"University of Iowa, USA"
113,51.3514,"University of Bern, Switzerland"
114,50.9434,"University of Minnesota, USA"
115,50.8772,"KTH Royal Institute of Technology, Sweden"
116,50.8475,University of Chinese Academy of Sciences
117,50.8197,"The University of Texas at Dallas, USA"
118,50.7463,"University of Liverpool, UK"
119,50.0,"Xiamen University, China"
120,50.0,"Universität Bonn, Germany"
121,50.0,"Technical University of Denmark, Denmark"
122,50.0,"Indiana University, USA"
123,50.0,"Université de Lausanne, Switzerland"
124,50.0,"University of Notre Dame, USA"
125,49.3333,"Ludwig-Maximilians-Universität München, Germany"
126,49.2958,"University of Melbourne, Australia"
127,49.1525,"University of Electronic Science and Technology, China"
128,48.7805,"Texas A&M University, USA"
129,48.6111,"École Normale Supérieure de Lyon, France"
130,48.3871,"University of Nottingham, UK"
131,48.3333,"Lancaster University, UK"
132,47.8873,"University of Miami, USA"
133,47.5,"University at Buffalo, USA"
134,47.3684,"University of Vienna, Austria"
135,47.2727,"University of Leicester, UK"
136,46.9697,"University of New South Wales, Australia"
137,46.5753,"University of Science and Technology Beijing, China"
138,46.0317,"William & Mary, USA"
139,45.7143,"Newcastle University, UK"
140,45.614,"University of East Anglia, UK"
141,45.614,"Université Paris Diderot - Paris 7, France"
142,45.4545,"Royal Holloway, University of London, UK"
143,45.3488,"University of Alberta, Canada"
144,45.0,"École Normale Supérieure, France"
145,44.8718,"University of Groningen, Netherlands"
146,44.7761,"University of Montreal, Canada"
147,44.6429,"University of Bristol, UK"
148,44.5946,"Tianjin University, China"
149,44.4444,"Beijing Institute of Technology, China"
150,44.2308,"South China University of Technology, China"
151,44.186,"Harbin Institute of Technology, China"
152,44.0678,"Humboldt-Universität zu Berlin, Germany"
153,43.5484,"University of Amsterdam, Netherlands"
154,43.4783,"University of Ottawa, Canada"
155,43.4211,"Beijing Normal University, China"
156,43.0769,"Durham University, UK"
157,42.8571,"Case Western Reserve University, USA"
158,42.6829,"University of Colorado Boulder, USA"
159,42.2535,"University of Western Australia, Australia"
160,42.1875,"Tel Aviv University, Israel"
161,41.5584,"University of Exeter, UK"
162,41.5385,"Albert-Ludwigs-Universität Freiburg, Germany"
163,41.2698,"Wuhan University, China"
164,41.2698,"Beijing University of Aeronautics and Astronautics, China"
165,41.1765,"Tohoku University, Japan"
166,41.0714,"University of Utah, USA"
167,40.9091,"Beijing Jiaotong University, China"
168,40.3226,"University of Helsinki, Finland"
169,40.2985,"National Tsing Hua University, Taiwan"
170,39.6825,"Monash University, Australia"
171,39.0625,"Georg-August-Universität Göttingen, Germany"
172,38.9831,"Southeast University, China"
173,38.7097,"RWTH Aachen University, Germany"
174,38.5714,"Chongqing University, China"
175,38.1818,"Karlsruhe Institute of Technology, Germany"
176,38.1579,"Shanghai University of Finance and Economics, China"
177,38.0952,"Université Joseph Fourier, Grenoble, France"
178,37.3134,"Uppsala University, Sweden"
179,37.0968,"Johann Wolfgang Goethe-Universität Frankfurt am Main, Germany"
180,37.0968,"Technion Israel Institute of Technology, Israel"
181,36.7647,"National Chiao Tung University, Taiwan"
182,36.7347,"University of Southampton, UK"
183,36.6667,"Osaka University, Japan"
184,36.5079,"Universität Basel, Switzerland"
185,36.2069,"Leiden University, Netherlands"
186,36.1111,"University of Leeds, UK"
187,36.0656,"Xi'an Jiaotong University, China"
188,35.8209,"Beijing University of Posts and Telecommunications, China"
189,35.443,Hong Kong Baptist University
190,35.1852,"University of Queensland Australia, Australia"
191,35.0649,"University of International Business and Economics, China"
192,34.8485,"Hebrew University of Jerusalem, Israel"
193,34.6154,"University of Sussex, UK"
194,34.4828,"National Taiwan Normal University, Taiwan"
195,33.9286,"University of St Andrews, UK"
