Voter,Choice1,Choice2,Result
1,2,3,-1
1,4,17,-1
1,6,5,-1
1,6,20,1
1,7,3,-1
1,7,26,1
1,9,17,-1
1,9,29,-1
1,10,20,-1
1,10,28,-1
1,12,2,1
1,12,13,1
1,12,14,-1
1,13,11,-1
1,13,24,-1
1,14,29,-1
1,15,12,-1
1,15,19,1
1,18,25,-1
1,19,9,-1
1,20,23,1
1,21,25,1
1,22,27,1
1,23,1,1
1,25,7,-1
1,25,11,-1
1,26,18,-1
1,27,7,-1
1,27,18,1
1,28,15,1
2,2,20,-1
2,5,30,1
2,15,29,-1
2,16,2,1
2,18,19,-1
2,18,29,-1
2,19,14,-1
2,21,9,1
2,25,17,-1
2,27,8,1
3,1,13,-1
3,5,1,1
3,10,17,-1
3,10,25,-1
3,10,26,1
3,12,19,1
3,17,16,1
3,18,13,-1
3,18,21,-1
3,19,11,-1
3,21,30,-1
3,22,8,1
3,23,15,1
3,23,30,1
3,26,15,-1
3,26,27,-1
3,27,19,1
3,29,16,1
3,30,25,1
4,1,7,-1
4,1,9,-1
4,1,11,-1
4,1,30,-1
4,2,3,-1
4,2,29,-1
4,3,15,1
4,3,28,-1
4,4,11,-1
4,4,28,-1
4,5,2,1
4,5,28,-1
4,7,3,-1
4,7,18,1
4,7,26,1
4,8,5,-1
4,9,11,-1
4,9,18,1
4,9,29,-1
4,10,5,-1
4,11,8,1
4,13,3,-1
4,13,5,-1
4,15,14,-1
4,15,27,-1
4,16,1,1
4,18,17,-1
4,18,23,-1
4,18,25,-1
4,18,29,-1
4,19,3,-1
4,19,9,-1
4,19,14,-1
4,19,17,-1
4,21,1,1
4,21,8,1
4,23,11,-1
4,24,17,-1
4,24,26,1
4,24,28,-1
4,25,3,-1
4,26,1,-1
4,26,13,-1
4,26,18,-1
4,27,5,1
4,27,8,1
4,27,9,1
4,28,12,1
4,28,14,1
4,28,25,1
4,29,1,1
4,29,17,1
5,1,12,1
5,1,25,1
5,1,30,1
5,2,6,1
5,2,9,1
5,2,11,1
5,2,19,-1
5,2,20,1
5,2,21,1
5,2,27,1
5,2,30,1
5,3,5,-1
5,3,6,-1
5,3,9,-1
5,3,11,-1
5,3,14,-1
5,3,17,-1
5,3,20,-1
5,3,23,-1
5,3,27,-1
5,3,29,-1
5,4,11,1
5,4,28,1
5,5,2,-1
5,5,9,-1
5,5,14,1
5,5,25,-1
5,5,28,1
5,6,16,-1
5,6,18,-1
5,6,26,-1
5,7,10,-1
5,7,11,1
5,7,14,1
5,8,7,1
5,8,10,-1
5,8,13,-1
5,8,17,-1
5,9,6,1
5,9,8,1
5,9,10,-1
5,9,18,-1
5,9,23,1
5,9,24,-1
5,9,26,-1
5,9,30,1
5,10,5,1
5,10,14,1
5,10,24,1
5,11,5,1
5,11,15,-1
5,11,16,-1
5,11,26,-1
5,12,3,1
5,12,23,1
5,13,3,1
5,13,4,1
5,13,5,1
5,13,6,1
5,13,17,1
5,13,29,1
5,14,1,-1
5,14,2,-1
5,14,8,-1
5,14,11,-1
5,14,13,-1
5,14,17,-1
5,14,18,-1
5,14,22,-1
5,14,23,-1
5,15,18,-1
5,15,29,1
5,16,2,-1
5,16,3,1
5,16,9,1
5,16,19,-1
5,16,20,1
5,16,21,1
5,17,1,-1
5,17,2,-1
5,17,15,-1
5,17,26,-1
5,17,28,1
5,18,4,1
5,18,16,1
5,18,17,1
5,18,19,-1
5,18,24,1
5,18,29,1
5,19,4,1
5,19,10,1
5,19,14,1
5,19,24,1
5,19,25,1
5,19,30,1
5,20,13,-1
5,20,17,-1
5,20,27,1
5,20,28,1
5,20,30,1
5,21,9,1
5,21,10,-1
5,21,13,-1
5,21,26,-1
5,21,28,1
5,22,1,-1
5,22,3,1
5,22,10,-1
5,22,18,-1
5,22,19,-1
5,23,2,-1
5,23,16,-1
5,23,25,-1
5,24,11,1
5,24,12,1
5,24,14,1
5,24,20,1
5,24,21,1
5,24,26,-1
5,24,28,1
5,25,3,1
5,25,9,1
5,25,14,1
5,25,26,-1
5,25,27,1
5,26,3,1
5,26,8,1
5,26,19,1
5,26,20,1
5,26,29,1
5,27,1,-1
5,27,5,-1
5,27,8,-1
5,27,10,-1
5,27,12,-1
5,27,16,-1
5,27,17,-1
5,28,1,-1
5,28,2,-1
5,28,9,-1
5,28,11,-1
5,28,13,-1
5,28,18,-1
5,28,29,-1
5,29,6,-1
5,29,10,-1
5,30,4,-1
5,30,10,-1
5,30,12,-1
5,30,16,-1
6,2,11,1
6,2,27,-1
6,4,5,1
6,5,9,-1
6,5,22,-1
6,6,16,-1
6,7,10,-1
6,7,11,-1
6,8,6,-1
6,8,17,-1
6,9,6,1
6,9,8,-1
6,9,26,-1
6,9,30,-1
6,10,14,-1
6,10,24,1
6,11,5,1
6,11,16,1
6,11,21,1
6,11,26,1
6,13,17,1
6,13,29,-1
6,14,1,-1
6,14,8,-1
6,14,17,-1
6,14,18,-1
6,14,22,-1
6,15,16,-1
6,16,3,-1
6,16,7,1
6,16,9,-1
6,16,19,1
6,16,20,-1
6,17,15,-1
6,18,24,1
6,19,10,-1
6,20,8,1
6,20,17,1
6,20,27,1
6,20,30,1
6,21,17,-1
6,21,26,1
6,22,1,1
6,22,10,-1
6,22,18,-1
6,23,2,-1
6,23,4,-1
6,24,6,1
6,24,14,1
6,25,22,1
6,26,8,1
6,27,12,1
6,27,14,-1
6,27,17,-1
6,28,11,1
6,29,6,1
6,29,10,-1
6,30,4,1
6,30,11,-1
6,30,16,-1
6,30,26,1
7,1,8,-1
7,2,18,1
7,2,21,-1
7,4,10,1
7,5,29,-1
7,7,30,-1
7,13,6,-1
7,14,23,1
7,15,1,1
7,17,26,1
7,19,6,-1
7,21,5,1
7,25,6,-1
7,25,24,-1
7,27,10,1
7,28,2,1
7,30,28,-1
8,1,2,-1
8,1,3,-1
8,1,6,-1
8,1,7,-1
8,1,8,-1
8,1,10,1
8,1,11,-1
8,1,12,-1
8,1,13,-1
8,1,19,1
8,1,25,-1
8,1,30,-1
8,2,3,-1
8,2,6,-1
8,2,9,1
8,2,10,1
8,2,11,-1
8,2,18,1
8,2,19,1
8,2,20,-1
8,2,21,-1
8,2,27,-1
8,2,29,-1
8,2,30,-1
8,3,5,1
8,3,6,1
8,3,8,1
8,3,9,1
8,3,14,1
8,3,15,1
8,3,17,1
8,3,20,1
8,3,23,1
8,3,24,1
8,3,27,1
8,4,1,1
8,4,2,1
8,4,3,-1
8,4,6,1
8,4,10,1
8,4,11,-1
8,4,15,1
8,4,25,1
8,4,26,1
8,4,28,-1
8,5,2,1
8,5,7,-1
8,5,9,1
8,5,12,-1
8,5,14,-1
8,5,15,1
8,5,18,1
8,5,19,1
8,5,20,1
8,5,25,1
8,5,28,-1
8,5,29,-1
8,6,5,-1
8,6,7,-1
8,6,14,-1
8,6,15,1
8,6,16,1
8,6,18,1
8,6,22,1
8,6,26,1
8,6,27,-1
8,7,2,1
8,7,3,-1
8,7,10,1
8,7,11,-1
8,7,13,1
8,7,14,-1
8,7,15,1
8,7,18,1
8,7,19,1
8,7,23,1
8,7,26,1
8,7,30,1
8,8,2,1
8,8,5,-1
8,8,6,-1
8,8,7,-1
8,8,10,1
8,8,12,-1
8,8,13,1
8,8,18,1
8,8,19,1
8,8,29,-1
8,8,30,-1
8,9,4,-1
8,9,6,-1
8,9,7,-1
8,9,8,-1
8,9,10,1
8,9,11,-1
8,9,14,-1
8,9,17,-1
8,9,18,1
8,9,20,-1
8,9,22,-1
8,9,23,-1
8,9,24,-1
8,9,26,1
8,9,29,-1
8,9,30,-1
8,10,3,-1
8,10,5,-1
8,10,6,-1
8,10,11,-1
8,10,13,-1
8,10,14,-1
8,10,18,-1
8,10,20,-1
8,10,24,-1
8,10,26,1
8,10,28,-1
8,11,5,1
8,11,6,1
8,11,8,1
8,11,12,1
