ID,Gender,Population,Geographic.origin,Geographic.area,region,distance,latitude,longtitude
HGDP00448,M,Biaka Pygmies,Central African Republic,Central Africa,Africa,2384.859098,4,17
HGDP00479,M,Biaka Pygmies,Central African Republic,Central Africa,Africa,2384.859098,4,17
HGDP00985,M,Biaka Pygmies,Central African Republic,Central Africa,Africa,2384.859098,4,17
HGDP01094,M,Biaka Pygmies,Central African Republic,Central Africa,Africa,2384.859098,4,17
HGDP00982,M,Mbuti Pygmies,Democratic Republic of Congo,Central Africa,Africa,1335.495772,1,29
HGDP00911,M,Mandenka,Senegal,Central Africa,Africa,5469.912857,12,-12
HGDP01202,M,Mandenka,Senegal,Central Africa,Africa,5469.912857,12,-12
HGDP00927,M,Yoruba,Nigeria,Central Africa,Africa,3629.688739,8,5
HGDP00461,M,Biaka Pygmies,Central African Republic,Central Africa,Africa,2384.859098,4,17
HGDP00451,M,Biaka Pygmies,Central African Republic,Central Africa,Africa,2384.859098,4,17
HGDP00986,M,Biaka Pygmies,Central African Republic,Central Africa,Africa,2384.859098,4,17
HGDP00449,M,Mbuti Pygmies,Democratic Republic of Congo,Central Africa,Africa,1335.495772,1,29
HGDP00983,M,Mbuti Pygmies,Democratic Republic of Congo,Central Africa,Africa,1335.495772,1,29
HGDP00912,M,Mandenka,Senegal,Central Africa,Africa,5469.912857,12,-12
HGDP01283,M,Mandenka,Senegal,Central Africa,Africa,5469.912857,12,-12
HGDP00928,F,Yoruba,Nigeria,Central Africa,Africa,3629.688739,8,5
HGDP00937,M,Yoruba,Nigeria,Central Africa,Africa,3629.688739,8,5
HGDP01408,M,Bantu,Kenya,Central Africa,Africa,2730.422,-3,37
HGDP00991,M,San ,Namidia,Central Africa,Africa,3872.417228,-21,20
HGDP01031,M,Bantu,South Africa,South Africa,Africa,2730.422,-3,37
HGDP01263,M,Mozabite,Algeria (Mzab),Northern Africa,Middle East,4418.170045,32,3
HGDP01275,F,Mozabite,Algeria (Mzab),Northern Africa,Middle East,4418.170045,32,3
HGDP00611,M,Bedouin,Israel (Negev),Israel,Middle East,2844.946131,31,35
HGDP00623,M,Bedouin,Israel (Negev),Israel,Middle East,2844.946131,31,35
HGDP00634,F,Bedouin,Israel (Negev),Israel,Middle East,2844.946131,31,35
HGDP00645,M,Bedouin,Israel (Negev),Israel,Middle East,2844.946131,31,35
HGDP00557,F,Druze,Israel (Carmel),Israel,Middle East,2887.253661,32,35
HGDP00569,F,Druze,Israel (Carmel),Israel,Middle East,2887.253661,32,35
HGDP00581,F,Druze,Israel (Carmel),Israel,Middle East,2887.253661,32,35
HGDP00594,M,Druze,Israel (Carmel),Israel,Middle East,2887.253661,32,35
HGDP00675,M,Palestinian,Israel (Central),Israel,Middle East,2887.253661,32,35
HGDP00687,F,Palestinian,Israel (Central),Israel,Middle East,2887.253661,32,35
HGDP00697,F,Palestinian,Israel (Central),Israel,Middle East,2887.253661,32,35
HGDP00729,M,Palestinian,Israel (Central),Israel,Middle East,2887.253661,32,35
HGDP00741,F,Palestinian,Israel (Central),Israel,Middle East,2887.253661,32,35
HGDP00011,M,Brahui,Pakistan,Pakistan,Central/South Asia,5842.077841,30.5,66.5
HGDP00035,M,Brahui,Pakistan,Pakistan,Central/South Asia,5842.077841,30.5,66.5
HGDP00058,M,Balochi,Pakistan,Pakistan,Central/South Asia,5842.077841,30.5,66.5
HGDP00082,M,Balochi,Pakistan,Pakistan,Central/South Asia,5842.077841,30.5,66.5
HGDP00103,M,Hazara,Pakistan,Pakistan,Central/South Asia,6132.580278,33.5,70
HGDP00938,F,Yoruba,Nigeria,Central Africa,Africa,3629.688739,8,5
HGDP01411,M,Bantu,Kenya,Central Africa,Africa,2730.422,-3,37
HGDP01264,M,Mozabite,Algeria (Mzab),Northern Africa,Middle East,4418.170045,32,3
HGDP01276,F,Mozabite,Algeria (Mzab),Northern Africa,Middle East,4418.170045,32,3
HGDP00612,F,Bedouin,Israel (Negev),Israel,Middle East,2844.946131,31,35
HGDP00624,M,Bedouin,Israel (Negev),Israel,Middle East,2844.946131,31,35
HGDP00635,F,Bedouin,Israel (Negev),Israel,Middle East,2844.946131,31,35
HGDP00646,F,Bedouin,Israel (Negev),Israel,Middle East,2844.946131,31,35
HGDP00558,F,Druze,Israel (Carmel),Israel,Middle East,2887.253661,32,35
HGDP00570,F,Druze,Israel (Carmel),Israel,Middle East,2887.253661,32,35
HGDP00582,F,Druze,Israel (Carmel),Israel,Middle East,2887.253661,32,35
HGDP00595,M,Druze,Israel (Carmel),Israel,Middle East,2887.253661,32,35
HGDP00676,M,Palestinian,Israel (Central),Israel,Middle East,2887.253661,32,35
HGDP00688,F,Palestinian,Israel (Central),Israel,Middle East,2887.253661,32,35
HGDP00698,F,Palestinian,Israel (Central),Israel,Middle East,2887.253661,32,35
HGDP00730,M,Palestinian,Israel (Central),Israel,Middle East,2887.253661,32,35
HGDP00742,F,Palestinian,Israel (Central),Israel,Middle East,2887.253661,32,35
HGDP00013,M,Brahui,Pakistan,Pakistan,Central/South Asia,5842.077841,30.5,66.5
HGDP00037,M,Brahui,Pakistan,Pakistan,Central/South Asia,5842.077841,30.5,66.5
HGDP00060,M,Balochi,Pakistan,Pakistan,Central/South Asia,5842.077841,30.5,66.5
HGDP00084,M,Balochi,Pakistan,Pakistan,Central/South Asia,5842.077841,30.5,66.5
HGDP00104,M,Hazara,Pakistan,Pakistan,Central/South Asia,6132.580278,33.5,70
HGDP00464,M,Biaka Pygmies,Central African Republic,Central Africa,Africa,2384.859098,4,17
HGDP01084,F,Biaka Pygmies,Central African Republic,Central Africa,Africa,2384.859098,4,17
