iter	Logloss
0	0.6666517595
1	0.6483521199
2	0.6358515116
3	0.6270061404
4	0.6200714
5	0.6148636851
6	0.6102744501
7	0.6069080002
8	0.6035526782
9	0.6010478087
10	0.5985248939
11	0.596610149
12	0.5948244471
13	0.5926960556
14	0.5911155244
15	0.5898443151
16	0.5884556901
17	0.5867353116
18	0.5850544595
19	0.5837185533
20	0.5826183629
21	0.5814810444
22	0.5805339283
23	0.579634065
24	0.5787477619
25	0.5775540768
26	0.5765656477
27	0.5757722735
28	0.5750996314
29	0.574447207
30	0.5736289446
31	0.5730071357
32	0.572373532
33	0.5717810811
34	0.5711316565
35	0.5704728348
36	0.5699459164
37	0.5692067509
38	0.5687422245
39	0.5681079047
40	0.5675739558
41	0.5671147504
42	0.5666635767
43	0.5662333932
44	0.5657805348
45	0.5653926121
46	0.5650372429
47	0.5645451098
48	0.5640098922
49	0.5635138604
50	0.5630002542
51	0.5625388067
52	0.561882321
53	0.5614109924
54	0.5610675122
55	0.5605551079
56	0.5601320378
57	0.5597713664
58	0.5593826849
59	0.5589007565
60	0.558535438
61	0.5581674436
62	0.5577166239
63	0.5573731814
64	0.556879065
65	0.5562858473
66	0.5558354959
67	0.5554775968
68	0.5550666337
69	0.5548048034
70	0.5543250783
71	0.5538512605
72	0.5534223971
73	0.552964038
74	0.5525996384
75	0.5520919525
76	0.5517383333
77	0.5513650582
78	0.5509927338
79	0.5505565956
80	0.5501519001
81	0.549802177
82	0.5493633868
83	0.5489277647
84	0.548518751
85	0.5481280562
86	0.5476880661
87	0.5472714323
88	0.5470234851
89	0.5465583642
90	0.5461814315
91	0.5457952907
92	0.5453936873
93	0.5450517103
94	0.5446488196
95	0.5442852934
96	0.5438963215
97	0.5435054628
98	0.5431971357
99	0.542800527
100	0.5423925405
101	0.5420264757
102	0.5416826709
103	0.5413438679
104	0.5409414251
105	0.5405285386
106	0.5401987853
107	0.5398160643
108	0.539435577
109	0.5391729085
110	0.5388664915
111	0.5385019901
112	0.5381337403
113	0.5376994512
114	0.5373849467
115	0.5370219182
116	0.5366443284
117	0.536265846
118	0.5360690927
119	0.5356416636
120	0.535364425
