iter	Passed	Remaining
0	1301	649474
1	2598	647148
2	3827	634039
3	5039	624915
4	6278	621573
5	7468	614933
6	8667	610467
7	9844	605438
8	11054	603086
9	12282	601835
10	13437	597361
11	14651	595836
12	15819	592628
13	17100	593616
14	18302	591778
15	19564	591823
16	20816	591426
17	22060	590732
18	23348	591094
19	24645	591484
20	25859	589845
21	27098	588786
22	28362	588209
23	29640	587874
24	30909	587274
25	32172	586526
26	33509	587030
27	34806	586740
28	36084	586062
29	37470	587030
30	38775	586640
31	40100	586467
32	41388	585712
33	42689	585093
34	44011	584720
35	45244	583151
36	46485	581697
37	47727	580262
38	48931	578397
39	50198	577287
40	51439	575873
41	52670	574356
42	53959	573476
43	55297	573082
44	56590	572191
45	57909	571539
46	59184	570437
47	60471	569439
48	61773	568572
49	63059	567538
50	64347	566509
51	65616	565312
52	66942	564588
53	68230	563536
54	69550	562726
55	70860	561821
56	72113	560460
57	73307	558654
58	74570	557381
59	75962	557059
60	77262	556035
61	78523	554729
62	79793	553489
63	81100	552494
64	82444	551741
65	83689	550321
66	84935	548909
67	86159	547368
68	87373	545767
69	88655	544597
70	89906	543235
71	91202	542146
72	92483	540964
73	93817	540081
74	95127	539053
75	96446	538069
76	97768	537091
77	99002	535630
78	100305	534537
79	101511	532934
80	102832	531937
81	104083	530573
82	105417	529626
83	106758	528708
84	108031	527446
85	109371	526511
86	110741	525702
87	112121	524934
88	113447	523898
89	114764	522815
90	116070	521680
91	117400	520647
92	118696	519457
93	120000	518301
94	121295	517100
95	122573	515832
96	123820	514428
97	124948	512542
98	126209	511212
99	127412	509650
100	128624	508129
101	129868	506740
102	131182	505627
103	132431	504258
104	133716	503028
105	134931	501539
106	136161	500105
107	137453	498906
108	138720	497612
109	140023	496445
110	141386	495490
111	142716	494410
112	143943	492973
113	145258	491839
114	146588	490752
115	147851	489440
116	149190	488374
117	150572	487447
118	151864	486220
119	153107	484838
120	154384	483567
121	155660	482290
122	157031	481308
123	158379	480247
124	159719	479159
125	161025	477965
126	162335	476780
127	163668	475662
128	164951	474394
129	166244	473156
130	167535	471912
131	168857	470755
132	170112	469408
133	171376	468086
134	172700	466932
135	173992	465686
136	175207	464234
137	176441	462838
138	177676	461447
139	178815	459810
140	180113	458587
141	181338	457177
142	182522	455667
143	183795	454382
144	184994	452917
145	186317	451757
146	187516	450294
147	188723	448856
148	189987	447553
149	191209	446154
150	192489	444892
