iter	RMSE
0	3.172286707
1	3.085436565
2	3.037729388
3	2.999387715
4	2.897850712
5	2.831440782
6	2.752679704
7	2.743388419
8	2.726098854
9	2.7062477
10	2.643787147
11	2.625260221
12	2.612222504
13	2.606796298
14	2.578980758
15	2.553823609
16	2.54462226
17	2.529884103
18	2.513500699
19	2.507025815
20	2.486401421
21	2.481402394
22	2.470522038
23	2.466825948
24	2.456645014
25	2.446663259
26	2.441359743
27	2.437805724
28	2.435121899
29	2.418169966
30	2.406584799
31	2.399698168
32	2.394145665
33	2.392055883
34	2.389468884
35	2.373072672
36	2.368186058
37	2.364395843
38	2.360433962
39	2.359098722
40	2.356104083
41	2.339538216
42	2.33497806
43	2.331838069
44	2.322827059
45	2.320164433
46	2.316254259
47	2.314387566
48	2.311230664
49	2.307724289
50	2.305661969
51	2.30438558
52	2.302583051
53	2.297783459
54	2.296212181
55	2.286710847
56	2.278416253
57	2.276443498
58	2.274574259
59	2.273564536
60	2.272478658
61	2.271201204
62	2.26132546
63	2.257925809
64	2.252258719
65	2.250623525
66	2.249722304
67	2.248303296
68	2.247643207
69	2.246904061
70	2.245085208
71	2.242966534
72	2.239148229
73	2.237525973
74	2.235611061
75	2.232691462
76	2.230198956
77	2.228232404
78	2.227233786
79	2.22359931
80	2.221705052
81	2.219318555
82	2.21842631
83	2.217573289
84	2.216715913
85	2.214748415
86	2.213908487
87	2.211659564
88	2.209646525
89	2.20668585
90	2.204975135
91	2.201377506
92	2.200304149
93	2.196089176
94	2.193430157
95	2.191492863
96	2.189503883
97	2.189294946
98	2.186547778
99	2.184829923
100	2.18311776
101	2.182627244
102	2.182341622
103	2.181763162
104	2.17943667
105	2.178246661
106	2.177386964
107	2.17625471
108	2.173603317
109	2.172511367
110	2.171788859
111	2.16972165
112	2.168999412
113	2.167570989
114	2.166825053
115	2.166227827
116	2.165806153
117	2.163790246
118	2.163205102
119	2.160615495
120	2.160018364
121	2.159792528
122	2.159154738
123	2.15856215
124	2.15580659
125	2.155172008
126	2.154999534
127	2.154521722
128	2.15407901
129	2.153879189
130	2.152448529
131	2.151095658
132	2.150310166
133	2.149815862
134	2.148942582
135	2.148411295
136	2.148060829
137	2.14738054
138	2.147092872
139	2.146429484
140	2.145598123
141	2.140517516
142	2.139058275
143	2.138137514
144	2.136843447
145	2.135866422
146	2.135340559
147	2.133132631
148	2.131947367
149	2.130973327
150	2.130218273
151	2.129602084
152	2.129516635
153	2.128463545
154	2.127865651
155	2.127192162
156	2.126794079
157	2.126227688
158	2.124630469
159	2.124213373
160	2.123968293
161	2.123135417
162	2.119994686
163	2.119238277
164	2.118012718
165	2.116975105
166	2.115885976
167	2.114917012
168	2.113958765
169	2.111161355
170	2.110631193
171	2.109359134
172	2.108836057
173	2.107692623
174	2.10724177
175	2.105917528
176	2.10537041
177	2.105185282
178	2.103837812
179	2.10303418
180	2.102565893
181	2.100538581
182	2.099917082
183	2.099280429
184	2.098125478
185	2.097280355
186	2.096202636
187	2.095507476
188	2.094326651
189	2.093587827
190	2.093486577
191	2.090372625
192	2.089931027
193	2.089353825
194	2.086365644
195	2.085697518
196	2.08476502
197	2.084598362
198	2.08277412
199	2.081868609
200	2.081589793
201	2.081492402
202	2.081162337
203	2.080982214
204	2.079993784
205	2.07909342
206	2.077939249
207	2.077443339
208	2.076036975
209	2.075951302
210	2.072871212
211	2.072069318
212	2.071445547
213	2.070581531
214	2.069959544
215	2.069244601
216	2.068607857
217	2.068220703
218	2.067844109
219	2.066956433
220	2.065629546
221	2.064399633
222	2.063776985
223	2.063212868
224	2.062071957
225	2.061907804
226	2.061227777
227	2.060671438
228	2.060283332
229	2.060179879
230	2.059750043
231	2.059400054
232	2.059333347
233	2.058183167
234	2.057125841
235	2.056989219
236	2.056137613
237	2.05532665
238	2.054931821
239	2.05314591
240	2.05266404
241	2.052096803
242	2.051609186
243	2.051171385
244	2.049890314
245	2.049147497
246	2.048730883
247	2.046383611
248	2.045394618
249	2.044657506
250	2.044417784
251	2.043589679
252	2.043235417
253	2.042882297
254	2.042506935
255	2.042461983
256	2.042378207
257	2.041759019
258	2.041017001
259	2.040432636
260	2.039778903
261	2.039598069
262	2.038673742
263	2.038380387
264	2.038078795
265	2.037819136
266	2.037483426
267	2.037258862
268	2.035664636
269	2.033731994
270	2.033142657
271	2.032779742
272	2.032310764
273	2.031715438
274	2.031056199
275	2.030131406
276	2.029878496
277	2.029291462
278	2.028654172
279	2.028129606
280	2.027954639
281	2.02676506
282	2.026405014
283	2.025633903
284	2.025309543
285	2.024770591
286	2.0242178
287	2.023786552
288	2.023447973
289	2.023266768
290	2.021940092
291	2.021726458
292	2.021521334
293	2.021188599
294	2.021021908
295	2.020150714
296	2.019952109
297	2.019266383
298	2.018701063
299	2.018064306
300	2.017747968
301	2.017093943
302	2.016570449
303	2.016018815
304	2.015066523
305	2.014641961
306	2.014002563
307	2.013445278
308	2.012687383
309	2.012153111
310	2.011779135
311	2.011424787
312	2.010843959
313	2.009822866
314	2.008958529
315	2.007357192
316	2.006917871
317	2.006596793
318	2.006328617
319	2.005943944
320	2.005737965
321	2.005141216
322	2.004748503
323	2.004465326
324	2.002950435
325	2.002363553
326	2.002020313
