iter	Passed	Remaining
0	829	414050
1	1564	389512
2	2289	379360
3	2970	368355
4	3766	372844
5	4612	379797
6	5531	389606
7	6145	377960
8	6909	376935
9	7685	376567
10	8510	378345
11	9167	372810
12	9782	366469
13	10475	363652
14	11342	366742
15	12098	365985
16	12829	364510
17	13609	364431
18	14402	364600
19	15139	363349
20	15838	361277
21	16515	358845
22	17123	355119
23	17910	355234
24	18739	356059
25	19572	356814
26	20157	353134
27	20930	352832
28	21704	352504
29	22487	352302
30	23173	350593
31	23749	347330
32	24578	347818
33	25329	347165
34	26087	346593
35	26834	345872
36	27550	344756
37	28218	343081
38	28942	342110
39	29656	341050
40	30538	341879
41	31262	340908
42	32164	341838
43	32822	340158
44	33706	340810
45	34337	338896
46	35177	339052
47	35864	337719
48	36540	336318
49	37114	334027
50	37742	332282
51	38491	331622
52	39266	331169
53	39941	329888
54	40681	329152
55	41388	328150
56	42109	327273
57	42837	326450
58	43493	325092
59	44246	324476
60	44985	323744
61	45694	322810
62	46428	322055
63	47202	321567
64	47941	320836
65	48678	320100
66	49468	319702
67	50247	319222
68	50880	317817
69	51735	317805
70	52475	317071
71	53167	316053
72	53955	315602
73	54700	314898
74	55411	314000
75	56108	313025
76	56900	312584
77	57546	311339
78	58368	311050
79	59108	310320
80	59753	309093
81	60588	308854
82	61295	307953
83	61966	306883
84	62623	305751
85	63384	305130
86	64145	304507
87	64909	303893
88	65584	302869
89	66406	302520
90	67093	301550
91	67882	301045
92	68559	300038
93	69309	299357
94	70114	298907
95	70807	297981
96	71589	297429
97	72309	296616
98	72907	295312
99	73474	293898
100	74224	293221
101	75002	292658
102	75684	291716
103	76565	291537
104	77236	290555
105	77910	289590
106	78662	288919
107	79369	288080
108	80280	287979
109	81015	287236
110	81645	286128
111	82318	285176
112	83088	284559
113	83707	283429
114	84372	282464
115	84979	281310
116	85748	280698
117	86455	279882
118	87329	279601
119	88114	279030
120	88892	278430
121	89625	277693
122	90378	277013
123	91066	276136
124	91774	275323
125	92633	274960
126	93462	274499
127	94216	273816
128	94854	272799
129	95517	271856
130	96183	270928
131	96937	270249
132	97637	269420
133	98159	268107
134	98853	267269
135	99476	266246
136	100267	265671
137	100891	264657
138	101663	264033
139	102396	263305
140	103031	262327
141	103789	261666
142	104794	261620
143	105619	261114
144	106319	260299
145	107056	259575
146	107781	258823
147	108567	258215
148	109254	257372
149	110143	257001
150	110843	256188
151	111636	255588
152	112350	254808
153	113158	254240
154	113847	253403
155	114580	252664
156	115384	252081
157	116091	251287
158	116941	250798
159	117671	250051
160	118403	249308
161	119146	248590
162	119852	247793
163	120697	247282
164	121398	246475
165	122160	245793
166	122829	244922
167	123572	244203
168	124419	243685
169	125202	243040
170	125899	242228
171	126620	241462
172	127465	240931
173	128278	240337
174	129079	239718
175	129978	239278
176	130870	238819
177	131827	238473
178	132888	238308
179	133663	237624
180	134427	236918
181	135162	236162
182	135929	235462
183	136698	234764
184	137521	234157
185	138193	233294
186	139009	232673
187	139993	232329
188	140960	231950
189	141735	231252
190	142601	230701
191	143284	229852
192	144017	229084
193	144606	228091
194	145395	227413
195	146131	226653
196	146915	225967
197	147892	225573
198	148682	224892
199	149372	224059
200	150001	223136
201	150907	222625
202	151592	221787
203	152342	221045
204	152993	220161
205	153766	219452
206	154549	218757
207	155255	217955
208	155968	217161
209	156506	216127
210	157252	215383
211	158066	214732
212	158853	214041
213	159734	213476
214	160692	213010
215	161526	212377
216	162373	211758
217	163228	211148
218	164095	210552
219	165045	210058
220	165925	209472
221	166645	208682
222	167227	207721
223	167811	206767
224	168453	205888
225	169315	205275
226	170032	204487
227	170734	203682
228	171459	202906
229	172113	202046
230	172859	201294
231	173909	200894
232	174697	200189
233	175521	199524
234	176247	198747
235	176869	197853
236	177684	197177
237	178468	196465
238	179171	195664
239	179971	194968
240	180746	194246
241	181418	193412
242	182179	192675
243	182992	191992
244	183711	191209
245	184435	190433
246	185128	189625
247	185833	188830
248	186583	188082
249	187307	187307
250	188003	186504
251	188701	185706
252	189458	184965
253	190202	184212
254	191004	183513
255	191726	182739
256	192319	181843
257	193091	181117
258	193845	180373
259	194619	179649
260	195395	178925
261	196094	178131
262	196776	177323
263	197273	176350
264	197941	175533
265	198729	174822
266	199440	174043
267	200233	173336
268	201137	172723
269	201879	171971
270	202653	171246
271	203356	170460
272	204224	169812
273	204803	168925
274	205456	168100
275	206292	167426
276	207155	166771
277	207972	166078
278	208727	165336
279	209438	164558
280	210227	163842
281	210941	163068
282	211664	162300
283	212542	161652
284	213119	160774
285	213848	160012
286	214627	159287
287	215386	158548
288	216073	157755
289	216897	157063
290	217738	156382
291	218526	155662
292	219263	154906
293	219961	154122
294	220601	153299
295	221316	152528
296	222062	151780
297	222870	151073
298	223713	150389
299	224447	149631
300	225281	148940
301	226048	148204
302	226848	147489
303	227603	146744
304	228318	145974
305	229193	145305
306	230215	144728
307	231129	144080
308	231832	143301
309	232530	142518
310	233315	141789
311	234031	141018
312	234654	140192
313	235465	139479
314	236282	138768
315	237059	138034
316	237745	137247
317	238505	136503
318	239289	135772
319	240068	135038
320	240949	134361
321	241752	133639
322	242435	132851
323	243200	132108
324	244042	131407
325	244695	130604
326	245536	129901
