chas,val
mvel1,-7.076690886953507e-06
beta,1.2860899088473765e-06
betasq,-0.00010294236572483406
chmom,4.778944136529795e-07
dolvol,3.891662453403555e-08
idiovol,-1.8139075938616855e-05
indmom,5.3895128553083094e-05
mom1m,1.71163485207515e-06
mom6m,5.334333457729379e-07
mom12m,0.0009651308592462104
mom36m,-0.00010946763749691835
pricedelay,3.4526089787156877e-07
turn,1.6727453090892297e-05
absacc,4.771835175554351e-06
acc,4.612233703904511e-06
age,-1.6558714271808217e-05
agr,-5.839503250948397e-07
cashdebt,3.912780138781713e-08
cashpr,-7.126142173929928e-05
cfp,-8.957879949422765e-06
cfp_ia,4.067504127958088e-08
chatoia,2.2339393224435344e-05
chcsho,-0.00013538551912473107
chempia,1.1783318254465769e-07
chinv,1.8173525889730868e-07
chpmia,7.068636975193776e-07
convind,1.2499590023029583e-06
currat,-8.592567731224854e-07
depr,3.383354127312055e-05
divi,6.898107835939804e-06
divo,-0.00033852586814697716
dy,0.00011982547125732879
egr,1.3940613933782764e-06
ep_x,-0.00022492116413913577
gma,5.799435222053617e-07
grcapx,6.310553150035147e-07
grltnoa,-3.7765531668565444e-07
herf,2.132507906316139e-06
hire,-3.358399286446101e-08
invest,-4.914425588697924e-09
lev,-0.0004599820322078729
lgr,1.0599174120051735e-06
mve_ia,-4.7187580422436426e-05
operprof,-2.159913470783925e-05
orgcap,1.1934841431804344e-07
pchcapx_ia,6.693649541866797e-07
pchcurrat,1.3616140189576242e-05
pchdepr,-1.5834545153248225e-05
pchgm_pchsale,3.2287127008645555e-06
pchquick,1.4685914118128807e-06
pchsale_pchinvt,6.434035486280187e-06
pchsale_pchrect,2.322007233990231e-06
pchsale_pchxsga,-6.859614466447894e-07
pchsaleinv,-4.728078307641992e-05
pctacc,5.150624767963352e-05
ps,2.7941648200746627e-07
quick,3.17206536667447e-05
rd,1.7499778338647687e-06
rd_mve,6.1382979304469565e-06
rd_sale,1.0573123758184089e-06
realestate,-9.427595945132872e-06
roic,-8.199897034222303e-05
salecash,-5.550441624646574e-07
saleinv,-8.034137384260731e-07
salerec,-1.7440357157338937e-06
secured,-1.9202599113032903e-06
securedind,7.374330961984477e-07
sgr,3.7346399276994013e-06
sin,8.440459692282687e-08
sp,1.210057828365807e-05
