Player ID,Player Name,Top Rating
158,"Anand, Viswanathan",2801
7848,"Morozevich, Alexander",2774
3887,"Carlsen, Magnus",2765
64,"Svidler, Peter",2765
3344,"Aronian, Levon",2763
7715,"Leko, Peter",2763
8277,"Mamedyarov, Shakhriyar",2760
8287,"Adams, Michael",2755
7616,"Radjabov, Teimour",2751
2295,"Ponomariov, Ruslan",2738
4194,"Gelfand, Boris",2737
2986,"Polgar, Judit",2735
7953,"Grischuk, Alexander",2732
2224,"Kamsky, Gata",2726
1782,"Navara, David",2726
7593,"Alekseev, Evgeny",2716
1594,"Van Wely, Loek",2714
4082,"Akopian, Vladimir",2713
5082,"Cheparinov, Ivan",2713
6946,"Short, Nigel D",2712
1286,"Sokolov, Ivan",2706
3076,"Ni, Hua",2704
1746,"Azmaiparashvili, Zurab",2702
8059,"Khalifman, Alexander",2702
4037,"Krasenkow, Michal",2702
5050,"Smirin, Ilia",2702
5342,"Eljanov, Pavel",2701
5942,"Malakhov, Vladimir",2700
2283,"Sasikiran, Krishnan",2700
1397,"Sutovsky, Emil",2697
2581,"Dominguez Perez, Leinier",2695
391,"Movsesian, Sergei",2695
7107,"Rublevsky, Sergei",2695
386,"Almasi, Zoltan",2691
8121,"Lautier, Joel",2687
1158,"Nakamura, Hikaru",2686
1736,"Vallejo Pons, Francisco",2686
7638,"Volokitin, Andrei",2685
2997,"Inarkiev, Ernesto",2684
4634,"Ye, Jiangchuan",2684
1187,"Aleksandrov, Aleksej",2679
1098,"Beliavsky, Alexander G",2679
1331,"Gashimov, Vugar",2679
2599,"Najer, Evgeniy",2677
7134,"Sakaev, Konstantin",2677
2683,"Zvjaginsev, Vadim",2677
2479,"Nikolic, Predrag",2676
8190,"Sargissian, Gabriel",2676
8616,"Onischuk, Alexander",2674
6962,"Tkachiev, Vladislav",2672
6586,"Korneev, Oleg",2671
5347,"Areshchenko, Alexander",2670
2339,"Delchev, Aleksander",2669
5531,"Nielsen, Peter Heine",2668
6468,"Xu, Jun",2668
3047,"Zhang, Zhong",2667
3678,"Efimenko, Zahar",2666
6691,"Moiseenko, Alexander",2665
8214,"Graf, Alexander",2661
8388,"Korchnoi, Viktor",2659
6049,"Volkov, Sergey",2659
3035,"Peng, Xiaomin",2657
6165,"Kobalia, Mikhail",2656
4679,"Lutz, Christopher",2655
3902,"Timman, Jan H",2655
4850,"Macieja, Bartlomiej",2653
5482,"Miton, Kamil",2653
6849,"Izoria, Zviad",2652
5774,"Miroshnichenko, Evgenij",2651
3443,"Predojevic, Borki",2651
7096,"Amonatov, Farrukh",2649
3980,"Ivanisevic, Ivan",2649
7796,"McShane, Luke J",2649
1246,"Zhang, Pengxiang",2649
7467,"Vescovi, Giovanni",2648
451,"Seirawan, Yasser",2647
7238,"Jussupow, Artur",2645
898,"Milos, Gilberto",2644
4331,"Ehlvest, Jaan",2643
174,"Gulko, Boris F",2643
6850,"Bauer, Christian",2641
6834,"Nijboer, Friso",2641
3837,"Fridman, Daniel",2640
8335,"Hjartarson, Johann",2640
8605,"Huebner, Robert, Dr.",2640
6388,"Lputian, Smbat G",2640
7479,"Riazantsev, Alexander",2638
2684,"Ibragimov, Ildar",2637
1538,"Vachier-Lagrave, Maxime",2637
7139,"Wojtaszek, Radoslaw",2637
3117,"Dautov, Rustem",2636
2099,"Lastin, Alexander",2636
5960,"Tregubov, Pavel V.",2636
3873,"Crisan, Alexandru",2635
3805,"Hansen, Curt",2635
3971,"Sadvakasov, Darmen",2635
1884,"Nepomniachtchi, Ian",2634
914,"Illescas Cordoba, Miguel",2633
4019,"Shabalov, Alexander",2633
501,"Spraggett, Kevin",2633
6270,"Atalik, Suat",2632
3518,"Mikhalevski, Victor",2632
8152,"Sokolov, Andrei",2632
1005,"Sadler, Matthew D",2631
3420,"Goldin, Alexander",2630
3507,"Solak, Dragan",2630
7112,"Kaidanov, Gregory S",2629
2015,"Pantsulaia, Levan",2629
4931,"Gyimesi, Zoltan",2628
7504,"Kotronias, Vasilios",2628
2962,"Vladimirov, Yevgeniy",2627
4920,"Guseinov, Gadir",2625
8084,"Rozentalis, Eduardas",2625
6875,"Rustemov, Alexander",2625
596,"Felgaer, Ruben",2624
5258,"Gelashvili, Tamaz",2623
1512,"Pelletier, Yannick",2623
1481,"Pigusov, Evgeny",2623
7262,"Paragua, Mark",2621
256,"Caruana, Fabiano",2620
4171,"Hracek, Zbynek",2620
6685,"Korotylev, Alexey",2620
4577,"Ftacnik, Lubomir",2618
2013,"Galkin, Alexander",2618
7441,"Svetushkin, Dmitry",2618
788,"Belov, Vladimir",2617
7461,"Dorfman, IossifD",2617
4862,"L'Ami, Erwin",2617
7119,"Potkin, Vladimir",2617
3488,"Kovacevic, Aleksandar",2616
5833,"Gustafsson, Jan",2615
5552,"Hamdouchi, Hicham",2615
1373,"Pavasovic, Dusko",2615
7053,"Bartel, Mateusz",2613
6574,"Smagin, Sergey",2613
1860,"Koneru, Humpy",2612
5061,"Kryvoruchko, Yuriy",2612
7002,"Gagunashvili, Merab",2611
7314,"Grachev, Boris",2610
7450,"Laznicka, Viktor",2610
7228,"Markowski, Tomasz",2610
2026,"Novikov, Igor A",2610
1852,"Sax, Gyula",2609
5598,"Agrest, Evgenij",2607
4757,"Kotsur, Pavel",2607
6212,"Golod, Vitali",2606
1148,"Ivanov, Alexander",2606
4911,"Kuzubov, Yuriy",2606
7741,"Hickl, Joerg",2605
1657,"Sedlak, Nikola",2605
2957,"Shariyazdanov, Andrey",2605
98,"Babula, Vlastimil",2604
4960,"Khamrakulov, Ibragim S.",2604
8267,"Luther, Thomas",2604
8491,"Ribli, Zoltan",2603
7412,"Huzman, Alexander",2602
8028,"Romanishin, Oleg M",2602
1338,"Wu, Wenjin",2602
7286,"Akobian, Varuzhan",2601
193,"Berg, Emanuel",2601
8553,"Conquest, Stuart C",2601
6305,"Miezis, Normunds",2601
675,"Khismatullin, Denis",2599
3271,"Rowson, Jonathan",2599
2165,"Sorokin, Maxim",2599
2699,"Vysochin, Spartak",2599
5333,"Kulaots, Kaido",2597
5563,"Benjamin, Joel",2596
1029,"Christiansen, Larry M",2596
2144,"Chuprov, Dmitry",2596
7189,"Ganguly, Surya Shekhar",2596
4732,"Georgiev, Vladimir",2596
3316,"Magomedov, Magaram",2596
6035,Aung AungaAung Myo Hlaing,2595
4073,"David, Alberto",2595
6647,"Erenburg, Sergey",2595
6840,"Lysyj, Igor",2595
1903,"Markus, Robert",2595
5441,"Popov, Ivan",2595
6944,"Sermek, Drazen",2595
5681,"Agdestein, Simen",2594
8347,"Fominyh, Alexander",2594
1748,"Grigoriants, Sergey",2594
8133,"Rogers, Ian",2594
1732,"Arutinian, David",2593
5893,"Borovikov, Vladislav",2593
6770,"Spasov, Vasil",2593
3617,"Hellsten, Johan",2592
5475,"Oleksienko, Mikhailo",2592
5419,"Popov, Valerij",2592
856,"Shchekachev, Andrei",2592
3242,"Stocek, Jiri",2592
8415,"Degraeve, Jean-Marc",2591
918,"Kogan, Artur",2591
4900,"Kuzmin, Alexey",2591
5614,"Palac, Mladen",2591
8343,"Portisch, Lajos",2591
4484,"Zelcic, Robert",2591
1811,"Hector, Jonny",2590
3361,"Korobov, Anton",2590
7023,"Blatny, Pavel",2589
4481,"Halkias, Stelios",2589
76,"Kengis, Edvins",2589
6880,"Savchenko, Boris",2589
2835,"Oratovsky, Michael",2588
2689,"Stojanovic, Mihajlo",2588
2256,"Nyback, Tomi",2587
6993,"Timoshenko, Georgy",2587
1037,"Balashov, Yuri S",2586
8066,"Hansen, Lars Bo",2586
2533,"Khairullin, Ildar",2586
5345,"Markovic, Miroslav",2586
8246,"Rychagov, Andrey",2586
670,"Zakhartsov, Viacheslav V.",2585
1786,"Lesiege, Alexandre",2584
5282,"Miles, Anthony J",2584
349,"Vera Gonzalez-Quevedo, Reynaldo",2584
5472,"Buhmann, Rainer",2583
5470,"Yemelin, Vasily",2583
6745,"Kolev, Atanas",2582
8629,"Kornev, Alexei",2582
3931,"Kruppa, Yuri",2582
213,"Pavlovic, Milos",2582
6038,"Rausis, Igor",2582
1964,"Sulskis, Sarunas",2582
7106,"Bobras, Piotr",2581
7678,"Drozdovskij, Yuri",2581
1105,"Dydyshko, Viacheslav",2581
145,"Cyborowski, Lukasz",2580
5254,"Kovalev, Andrei",2580
3013,"Mastrovasilis, Dimitrios",2580
6235,"Schlosser, Philipp",2580
971,"Vaisser, Anatoly",2580
7360,"Wahls, Matthias",2580
5075,"Zhou, Jianchao",2580
6934,"Aseev, Konstantin N",2579
6899,"Belikov, Vladimir",2578
2416,"Mitkov, Nikola",2578
226,"Smeets, Jan",2578
7545,"Stohl, Igor",2578
4092,"Vuckovic, Bojan",2578
392,"Brkic, Ante",2577
2560,"Dziuba, Marcin",2577
3278,"Shaposhnikov, Evgeny",2577
7901,"Shengelia, David",2577
2531,"Bezgodov, Alexei",2576
1863,"Lopez Martinez, Josep Manuel",2576
3741,"Van Der Sterren, Paul",2576
1496,"Yin, Hao",2576
4857,"Zontakh, Andrey",2576
6311,"Becerra Rivero, Julio",2575
8501,"Cicak, Slavko",2574
8353,"Ivanov, Sergey",2574
5764,"Maletin, Pavel",2574
3564,"Peralta, Fernando",2574
7833,"Solodovnichenko, Yuri",2574
3523,"Arencibia Rodriguez, Walter",2573
7943,"Gershon, Alik",2573
2536,"Ovetchkin, Roman",2573
7447,"Fontaine, Robert",2572
4719,"Hertneck, Gerald",2571
1812,"Kiriakov, Petr",2571
5534,"Stevic, Hrvoje",2571
3184,"Sveshnikov, Evgeny",2571
7230,"Kotanjian, Tigran",2570
5973,"Ljubojevic, Ljubomir",2570
5456,"Malaniuk, Vladimir P",2570
7528,"Meier, Georg",2570
5365,"Pinter, Jozsef",2570
4877,"Heberla, Bartlomiej",2569
6277,"Kharitonov, Andrei V.",2569
3538,"Megaranto, Susanto",2569
7839,"Moradiabadi, Elshan",2569
