"Month #","White Player #","Black Player #","Score"
1,73,1246,0.5
1,73,5097,0.5
1,73,5104,0.5
1,73,7321,1
1,73,7375,0.5
1,88,1033,0.5
1,88,1860,1
1,88,4858,1
1,154,3377,0
1,158,8059,1
1,189,7357,1
1,213,7591,0
1,370,88,0.5
1,370,1033,0.5
1,370,3487,0
1,370,6993,0
1,370,7503,1
1,418,73,0
1,418,1246,0
1,418,5097,1
1,515,4562,1
1,527,6991,0
1,559,2028,1
1,699,1077,1
1,748,753,0.5
1,748,856,0.5
1,748,2938,0.5
1,748,4073,0.5
1,748,6171,1
1,751,885,1
1,751,5655,1
1,751,8375,0
1,753,5614,0.5
1,753,5731,0.5
1,793,370,0.5
1,793,7112,0.5
1,793,7831,0.5
1,856,6038,0.5
1,856,7416,0.5
1,870,1815,1
1,870,3377,0
1,870,7364,0.5
1,870,8334,0.5
1,885,4082,0.5
1,898,2231,1
1,898,8353,1
1,952,3144,0
1,952,7087,1
1,963,3362,1
1,971,3416,0.5
1,971,5614,0.5
1,971,8152,0.5
1,1020,6270,0
1,1033,3035,0
1,1033,3487,0.5
1,1033,6910,1
1,1033,7434,1
1,1135,2105,0.5
1,1135,4731,0.5
1,1142,5419,0
1,1164,870,1
1,1164,2861,1
1,1164,5310,1
1,1164,6029,1
1,1164,7447,0
1,1246,5097,0
1,1322,4540,0
1,1322,4560,1
1,1347,2962,0
1,1347,4329,0
1,1347,4431,1
1,1408,2981,1
1,1455,418,0.5
1,1455,1246,0.5
1,1455,4116,1
1,1455,6268,0.5
1,1455,7375,0.5
1,1512,2108,1
1,1512,8411,1
1,1535,2215,0
1,1535,7001,1
1,1594,7849,0.5
1,1703,1755,1
1,1703,8170,1
1,1755,1860,1
1,1755,7192,1
1,1755,8375,0.5
1,1779,1091,1
1,1779,3785,0.5
1,1779,5310,1
1,1779,6029,1
1,1815,7641,0.5
1,1837,952,0
1,1837,3404,0
1,1837,4214,1
1,1855,2599,1
1,1860,2605,0
1,1860,3041,0.5
1,1932,2487,0.5
1,1932,4923,0
1,1932,5089,1
1,1932,6202,1
1,1932,6808,1
1,2006,213,0
1,2006,856,1
1,2038,6261,0
1,2038,8267,0.5
1,2095,1703,0.5
1,2095,2684,0
1,2095,7189,0
1,2095,7802,0
1,2105,5310,1
1,2108,1932,0.5
1,2108,5310,1
1,2165,793,0
1,2165,885,1
1,2165,2283,0.5
1,2215,5018,0.5
1,2215,5419,1
1,2283,2684,1
1,2283,8388,0.5
1,2332,3083,1
1,2332,6697,1
1,2332,7269,1
1,2357,8415,0
1,2420,3931,0.5
1,2451,2981,0.5
1,2451,4723,0.5
1,2451,5057,1
1,2451,7582,1
1,2574,3628,0
1,2576,4082,0.5
1,2576,7023,1
1,2599,2434,1
1,2599,2461,1
1,2605,166,1
1,2605,4176,0.5
1,2605,7192,1
1,2605,7802,1
1,2605,8388,0
1,2609,1855,0.5
1,2609,1932,0.5
1,2652,5681,0
1,2684,88,0.5
1,2684,2748,0
1,2748,88,1
1,2748,1755,0.5
1,2748,4329,0
1,2847,2959,1
1,2847,4045,1
1,2861,3362,1
1,2867,4286,1
1,2867,5580,0
1,2938,3377,1
1,2938,3580,0.5
1,2959,3488,0
1,2959,3507,0.5
1,2959,4045,0.5
1,2962,2283,0.5
1,2981,4723,0
