Month #,Player #,# Games,Total Score,Leaderboard
101,7,3,2,Private
101,36,3,2,Private
101,43,1,0.5,Private
101,64,6,3,Private
101,96,3,0,Private
101,102,4,2,Private
101,114,2,1.5,Private
101,143,7,3,Private
101,145,9,5.5,Public
101,149,3,1.5,Public
101,173,2,0.5,Public
101,187,6,3,Public
101,193,8,5.5,Private
101,201,2,1,Private
101,213,4,1,Private
101,247,2,0.5,Private
101,260,2,1,Private
101,275,3,1,Private
101,304,7,3,Private
101,306,1,0,Private
101,307,3,1.5,Private
101,313,2,0.5,Private
101,314,6,4,Private
101,327,1,0.5,Public
101,365,6,2.5,Private
101,374,7,2.5,Private
101,391,6,3.5,Public
101,392,11,6,Private
101,397,2,0.5,Public
101,408,7,4,Private
101,414,1,0.5,Private
101,428,3,0.5,Public
101,436,6,3.5,Public
101,437,4,3,Private
101,440,1,0.5,Private
101,441,2,1,Public
101,447,1,1,Public
101,486,3,1.5,Private
101,491,4,0.5,Private
101,492,1,1,Private
101,501,3,2,Public
101,512,6,2.5,Private
101,531,3,2,Private
101,545,8,0.5,Private
101,562,8,3.5,Private
101,568,2,0,Private
101,572,6,3.5,Public
101,584,3,0.5,Public
101,591,2,1.5,Private
101,596,4,3.5,Private
101,614,5,2.5,Private
101,617,5,2,Public
101,652,3,1.5,Private
101,658,9,4.5,Public
101,664,1,0.5,Public
101,667,4,2.5,Private
101,670,7,5,Private
101,675,8,4,Private
101,700,2,1,Private
101,719,6,3.5,Private
101,720,2,0.5,Private
101,733,5,3.5,Private
101,793,1,0,Private
101,809,1,0.5,Private
101,811,3,1.5,Private
101,813,2,1.5,Private
101,838,2,1,Private
101,856,2,0.5,Private
101,893,8,3.5,Private
101,895,4,2,Private
101,898,1,0.5,Private
101,918,2,0.5,Private
101,928,3,1.5,Private
101,941,7,5,Private
101,947,6,3.5,Private
101,954,6,1.5,Private
101,966,5,2.5,Private
101,971,2,0.5,Private
101,973,2,0.5,Public
101,974,3,1.5,Private
101,990,1,1,Public
101,1004,1,0,Private
101,1025,4,2,Public
101,1037,2,1,Private
101,1084,6,2.5,Private
101,1095,3,2.5,Public
101,1100,9,6,Private
101,1102,5,1.5,Public
101,1109,2,1,Public
101,1111,1,0,Private
101,1114,3,1.5,Private
101,1125,1,0.5,Private
101,1148,4,2,Private
101,1152,1,0.5,Private
101,1158,2,1,Public
101,1169,5,1,Private
101,1178,3,1,Private
101,1187,12,10,Private
101,1191,1,0.5,Private
101,1202,3,1.5,Private
101,1207,1,0.5,Private
101,1219,12,8,Private
101,1262,5,3,Public
101,1286,3,3,Private
101,1288,4,4,Public
101,1289,6,4,Private
101,1305,2,0,Public
101,1309,3,0.5,Private
101,1321,5,3,Private
101,1325,1,0,Private
101,1329,4,2,Private
101,1376,1,0.5,Private
101,1422,1,0,Private
101,1431,5,3.5,Private
101,1452,5,1.5,Private
101,1462,3,1,Private
101,1500,3,0.5,Private
101,1512,3,2,Private
101,1538,4,3.5,Private
101,1548,3,2,Private
101,1553,3,3,Private
101,1563,9,7,Private
101,1591,4,1.5,Public
101,1594,10,4,Private
101,1610,12,3,Private
101,1613,2,0.5,Private
101,1615,5,2.5,Public
101,1635,9,6,Public
101,1657,11,6.5,Public
101,1678,3,1,Private
101,1683,3,2.5,Private
101,1697,5,2.5,Private
101,1716,16,8.5,Public
101,1718,3,1,Private
101,1732,10,6,Private
