	云栈洞大战	回报师父	带回八戒	收八戒为徒	辞高老庄	浮屠山会乌巢禅师
孙悟空'	1	1	1	1	1	1
唐僧'		1		1	1	1
猪八戒'	1		1	1	1	1
沙僧'						
白龙马'					1	
如来佛'						
观音菩萨'						
文殊菩萨'						
普贤菩萨'						
灵吉菩萨'						
弥勒佛(东来佛祖)'						
毗蓝婆菩萨'						
地藏王菩萨'						
阿难'						
伽叶'						
玉皇大帝'						
王母娘娘'						
嫦娥'						
元始天尊(三清)'						
太上老君(道德天尊,三清)'						
菩提祖师'						
南极寿星'						
太白金星'						
千里眼'						
顺风耳'						
昴日星官'						
托塔李天王'						
木叉(木吒/慧岸)'						
哪吒'						
巨灵神'						
二郎神'						
东方持国天王(四大天王)'						
南方增长天王(四大天王)'						
西方广目天王(四大天王)'						
北方多闻天王(四大天王)'						
张道陵(四大天师)'						
许逊(字敬之，号许旌阳,四大天师)'						
邱弘济(四大天师)'						
葛洪(四大天师)'						
"东海龙王敖广'																			"						
南海龙王敖钦'						
北海龙王敖顺'						
西海龙王敖闰'						
摩昂太子'						
土地神'						
山神'						
镇元大仙'						
赤脚大仙'						
十殿阎王'						
唐太宗李世民'						
魏徵'						
混世魔王'						
寅将军(巩州城三怪)'						
熊山君(巩州城三怪)'						
特处士(巩州城三怪)'						
黑风山熊罴怪'						
凌虚子'						
白衣秀士'						
虎先锋'						
黄风大圣'						
白骨精'						
黄袍怪(奎星)'						
金角大王'						
银角大王'						
压龙洞九尾狐狸'						
狐阿七'						
乌鸡国假国王'						
红孩儿'						
黑水河鼍怪'						
车迟国虎力大仙'						
车迟国鹿力大仙'						
车迟国羊力大仙'						
通天河鱼怪'						
独角兕'						
聚仙庵如意真仙'						
琵琶洞蝎子精'						
六耳猕猴'						
铁扇公主'						
牛魔王'						
避水金晶兽'						
摩云洞玉面公主'						
奔波儿灞'						
灞波儿奔'						
碧波潭万圣龙王'						
碧波潭九头驸马'						
木仙庵赤身鬼'						
木仙庵劲节十八公'						
木仙庵孤直公'						
木仙庵凌空子'						
木仙庵拂云叟'						
木仙庵杏仙'						
黄眉大王'						
驼罗庄红鳞大蟒'						
朱紫国赛太岁'						
盘丝洞蜘蛛精'						
黄花观百眼魔君'						
狮驼岭老妖'						
狮驼岭二怪'						
狮驼岭三怪'						
比丘国清华庄国后'						
比丘国清华庄国丈'						
焰空山地涌夫人老鼠精'						
隐雾山南山大王'						
豹头山黄狮精'						
竹节山九灵元圣六孙'						
竹节山九灵元圣'						
玄英洞辟寒大王'						
玄英洞辟暑大王'						
玄英洞辟尘大王'						
毛颖山玉兔精'						
通臂猿猴'						
高老庄高才					1	
高老庄高太公		1		1	1	
高老庄三女儿						
乌巢禅师						1
黄风岭老者						
护法伽蓝						
